episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.375,42,,,,0,10,1,10,,,7,19,5,10,,,6,11,9,17,,,3,18,7,1,,,9,3,7,18,,,0,9,6,19,,,6.0,16.0,8.0,1.0,,,,,,
1,60.34375,42,,,,5,1,9,11,,,0,14,8,0,,,9,1,6,10,,,4,0,3,14,,,5,0,8,19,,,3,11,5,19,,,1.0,1.0,3.0,19.0,,,,,,
2,47.796875,42,26.0,2.0,1.0,2,0,3,0,8.0,7.0,0,10,6,9,26.0,25.0,6,0,0,19,7.0,6.0,9,6,7,10,24.0,18.0,0,7,6,17,13.0,12.0,9,3,3,9,,,,,,,6.0,5.0,4.0,0.0,9.0,0.0
3,47.546875,42,35.0,13.0,12.0,9,16,3,10,12.0,11.0,3,19,4,9,22.0,19.0,9,7,4,19,16.0,15.0,6,14,0,5,35.0,24.0,8,0,5,19,9.0,8.0,7,18,0,17,,,,,,,4.0,3.0,0.0,7.0,1.0,9.0
4,60.359375,42,,,,7,9,9,9,,,6,15,0,8,,,9,11,4,9,,,3,10,8,9,,,9,16,1,1,,,3,15,4,1,,,3.0,5.0,0.0,15.0,,,,,,
5,60.703125,42,,,,6,15,3,18,,,4,10,0,18,,,3,6,9,0,,,2,0,6,9,,,6,1,6,17,,,6,13,0,11,,,9.0,13.0,3.0,4.0,,,,,,
6,14.546875,42,25.0,9.0,8.0,9,0,2,1,21.0,16.0,3,18,6,15,4.0,3.0,8,10,6,9,25.0,24.0,9,1,0,16,5.0,4.0,3,12,1,10,18.0,17.0,9,8,0,0,,,,,,,23.0,22.0,7.0,19.0,3.0,1.0
7,60.546875,42,,,,8,9,6,0,,,8,1,4,1,,,8,0,5,0,,,6,13,6,1,,,4,9,0,4,,,6,17,0,16,,,3.0,0.0,2.0,9.0,,,,,,
8,60.359375,42,,,,0,13,0,9,,,3,18,7,18,,,6,13,6,2,,,6,11,6,9,,,4,9,6,0,,,9,3,0,10,,,6.0,1.0,8.0,9.0,,,,,,
9,53.125,42,38.0,14.0,13.0,6,5,3,15,29.0,27.0,0,3,9,19,30.0,16.0,3,8,9,2,18.0,17.0,3,18,0,4,38.0,25.0,9,17,2,1,9.0,8.0,1,18,8,19,,,,,,,4.0,3.0,3.0,3.0,3.0,0.0
10,60.234375,42,,,,0,6,0,14,,,9,3,6,0,,,3,0,5,0,,,9,10,8,0,,,3,2,9,19,,,3,18,6,13,,,6.0,12.0,3.0,15.0,,,,,,
11,60.1875,42,,,,3,15,0,12,,,3,16,0,10,,,8,18,7,19,,,3,5,6,19,,,0,19,6,16,,,3,6,4,1,,,0.0,2.0,0.0,18.0,,,,,,
12,60.3125,42,,,,9,8,0,19,,,5,0,3,12,,,9,12,2,1,,,0,17,3,2,,,4,19,6,15,,,6,16,6,9,,,3.0,19.0,6.0,6.0,,,,,,
13,60.859375,42,,,,3,9,4,19,,,9,15,6,17,,,0,10,4,1,,,3,7,2,18,,,0,13,7,18,,,3,10,9,16,,,9.0,9.0,8.0,0.0,,,,,,
14,60.53125,42,,,,2,18,0,11,,,6,19,3,19,,,8,1,9,8,,,4,0,0,14,,,7,1,6,17,,,2,19,1,10,,,0.0,9.0,3.0,3.0,,,,,,
15,60.453125,42,,,,8,10,7,10,,,6,3,4,19,,,5,19,6,19,,,1,0,6,12,,,4,1,3,18,,,9,3,3,3,,,0.0,2.0,6.0,8.0,,,,,,
16,60.453125,42,,,,0,16,3,16,,,6,3,8,1,,,0,10,0,4,,,6,11,1,0,,,6,8,4,19,,,0,9,1,1,,,7.0,10.0,3.0,6.0,,,,,,
17,60.40625,42,,,,6,12,0,19,,,0,16,3,2,,,6,14,9,11,,,0,11,9,18,,,1,0,6,3,,,6,4,3,19,,,8.0,9.0,3.0,8.0,,,,,,
18,5.859375,42,12.0,8.0,7.0,6,4,4,9,8.0,7.0,3,2,8,0,6.0,5.0,0,2,0,7,9.0,8.0,0,17,0,9,12.0,11.0,9,15,2,19,4.0,3.0,3,16,4,18,,,,,,,6.0,5.0,6.0,7.0,4.0,10.0
19,60.453125,42,,,,6,13,4,9,,,4,18,8,10,,,3,19,2,18,,,9,12,9,14,,,0,18,3,6,,,6,2,5,19,,,5.0,18.0,5.0,9.0,,,,,,
20,60.21875,42,,,,9,2,9,7,,,3,18,5,18,,,3,1,0,16,,,0,2,3,3,,,3,10,6,0,,,8,19,3,4,,,0.0,1.0,0.0,12.0,,,,,,
21,38.3125,42,30.0,30.0,19.0,0,13,3,5,27.0,15.0,3,0,0,12,26.0,18.0,2,9,6,7,6.0,5.0,6,12,9,10,20.0,19.0,7,0,9,17,20.0,19.0,9,12,2,0,,,,,,,8.0,7.0,6.0,13.0,7.0,19.0
22,60.65625,42,,,,2,1,9,0,,,0,4,4,1,,,0,16,8,10,,,6,0,9,15,,,5,19,3,4,,,3,11,1,10,,,3.0,3.0,9.0,14.0,,,,,,
23,60.625,42,,,,6,9,9,12,,,3,1,1,0,,,6,8,0,19,,,5,1,5,10,,,9,9,0,5,,,2,10,3,2,,,9.0,19.0,3.0,18.0,,,,,,
24,30.390625,42,27.0,16.0,15.0,9,19,0,13,17.0,13.0,0,17,5,9,8.0,7.0,9,7,4,9,21.0,15.0,0,10,3,4,15.0,14.0,7,9,0,2,27.0,21.0,9,2,7,19,,,,,,,12.0,11.0,9.0,16.0,1.0,19.0
25,60.65625,42,,,,3,6,7,9,,,6,12,3,12,,,3,15,2,18,,,3,11,0,0,,,9,6,9,12,,,0,10,9,13,,,7.0,1.0,2.0,1.0,,,,,,
26,60.609375,42,,,,0,3,1,0,,,0,14,3,10,,,0,7,6,5,,,9,0,6,19,,,9,7,9,5,,,0,17,0,5,,,7.0,9.0,1.0,9.0,,,,,,
27,60.59375,42,,,,3,0,5,0,,,3,3,3,18,,,9,19,0,16,,,8,0,9,12,,,3,5,0,1,,,9,16,1,0,,,4.0,19.0,2.0,0.0,,,,,,
28,60.640625,42,,,,3,0,5,0,,,0,15,9,11,,,0,2,6,16,,,6,14,7,18,,,9,16,6,3,,,0,14,3,16,,,3.0,2.0,1.0,10.0,,,,,,
29,60.46875,42,,,,9,4,0,15,,,8,10,3,18,,,0,2,0,14,,,6,18,6,1,,,0,9,9,11,,,7,1,3,14,,,8.0,19.0,9.0,16.0,,,,,,
30,60.515625,42,,,,3,2,5,9,,,0,15,3,1,,,4,18,9,15,,,5,0,9,11,,,6,12,4,19,,,3,4,0,2,,,9.0,14.0,6.0,5.0,,,,,,
31,24.03125,42,30.0,30.0,8.0,0,17,3,16,16.0,15.0,6,9,0,0,16.0,15.0,9,1,9,16,27.0,15.0,0,12,0,19,15.0,14.0,6,19,6,5,25.0,18.0,0,16,1,1,,,,,,,11.0,10.0,6.0,0.0,7.0,9.0
32,60.515625,42,,,,9,12,9,2,,,7,1,0,2,,,8,10,6,12,,,3,18,0,12,,,4,9,3,1,,,6,9,9,0,,,8.0,1.0,2.0,10.0,,,,,,
33,60.375,42,,,,8,9,9,12,,,4,1,9,4,,,2,0,7,10,,,3,6,6,5,,,5,10,3,1,,,7,18,3,15,,,6.0,6.0,0.0,13.0,,,,,,
34,60.3125,42,,,,3,11,2,19,,,9,11,4,0,,,3,17,5,10,,,0,13,2,9,,,6,11,2,1,,,9,15,9,19,,,9.0,4.0,7.0,9.0,,,,,,
35,60.28125,42,,,,9,1,6,4,,,8,18,3,9,,,9,15,0,16,,,0,12,1,9,,,9,6,8,19,,,0,7,3,4,,,4.0,10.0,3.0,3.0,,,,,,
36,60.328125,42,,,,9,11,6,2,,,0,16,0,17,,,9,10,4,0,,,6,5,0,13,,,0,19,5,18,,,0,18,0,2,,,3.0,1.0,6.0,18.0,,,,,,
