episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,62.109375,42,,,,0,10,5,10,,,7,19,9,17,,,6,11,7,1,,,3,18,7,18,,,9,3,6,19,,,0,9,8,1,,,6,16,5,1,,,1.0,10.0,0.0,14.0,,,,,,
1,60.78125,42,,,,9,1,3,14,,,4,0,8,19,,,5,0,5,19,,,3,11,3,19,,,1,1,2,0,,,9,11,0,10,,,8,0,6,0,,,6.0,10.0,9.0,6.0,,,,,,
2,60.765625,42,,,,0,7,3,9,,,9,3,9,16,,,9,0,3,19,,,3,0,9,7,,,6,9,6,14,,,0,19,8,0,,,7,10,7,18,,,6.0,17.0,1.0,9.0,,,,,,
3,61.78125,42,,,,3,10,9,11,,,4,9,9,16,,,4,19,3,15,,,0,5,3,5,,,5,19,9,9,,,0,17,0,8,,,7,9,8,9,,,6.0,15.0,1.0,1.0,,,,,,
4,62.296875,42,,,,4,1,9,13,,,0,15,3,18,,,6,15,0,18,,,4,10,9,0,,,3,6,6,9,,,2,0,6,17,,,6,1,0,11,,,6.0,13.0,3.0,4.0,,,,,,
5,63.25,42,,,,7,19,2,1,,,9,0,6,15,,,3,18,6,9,,,8,10,0,16,,,9,1,1,10,,,3,12,0,0,,,9,8,8,9,,,3.0,1.0,8.0,1.0,,,,,,
6,61.125,42,,,,8,0,6,1,,,6,13,0,4,,,4,9,0,16,,,6,17,2,9,,,3,0,0,13,,,6,0,3,18,,,4,1,6,11,,,5.0,0.0,9.0,3.0,,,,,,
7,61.53125,42,,,,6,1,3,3,,,0,9,6,5,,,7,18,0,3,,,6,2,3,8,,,6,9,3,18,,,6,0,9,17,,,0,10,1,18,,,8.0,9.0,3.0,0.0,,,,,,
8,60.828125,42,,,,3,15,3,0,,,9,19,9,10,,,9,2,3,2,,,0,4,3,18,,,2,1,6,12,,,8,19,0,14,,,0,6,6,0,,,9.0,3.0,5.0,0.0,,,,,,
9,62.046875,42,,,,8,0,3,6,,,9,19,0,2,,,6,13,0,12,,,3,15,0,10,,,3,16,7,19,,,8,18,6,19,,,3,5,6,16,,,0.0,19.0,4.0,1.0,,,,,,
