episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
1,0.234375,42,28,28,20,0,10,9,3,18,17,7,19,0,9,6,5,6,11,6,16,17,12,3,18,1,10
2,0.078125,42,20,16,15,0,10,7,18,11,10,5,10,6,19,20,19,9,17,8,1,3,2,7,1,5,1
3,0.0625,42,17,14,8,0,14,3,11,10,8,9,1,1,1,17,16,4,0,9,11,4,3,5,0,8,0
4,0.140625,42,34,15,14,6,10,3,19,16,15,3,14,4,0,34,27,8,19,2,0,15,14,5,19,0,10
5,0.078125,42,32,4,3,6,0,9,0,13,12,9,6,3,0,9,8,0,7,6,9,32,31,9,3,0,19
6,1.09375,42,18,9,8,7,10,9,16,6,5,6,17,3,19,18,12,3,9,9,7,14,13,0,7,6,14
7,0.0625,42,16,16,15,8,0,4,9,5,4,7,18,4,19,6,5,1,9,0,5,12,11,3,10,5,19
8,1.5625,42,21,11,10,0,17,3,10,10,9,7,9,9,16,21,9,6,15,3,15,13,12,9,11,3,5
9,0.0625,42,20,2,1,9,9,8,9,20,13,3,10,1,1,12,11,0,8,4,1,11,10,4,9,0,15
10,0.5,42,30,15,14,6,15,6,1,10,9,4,10,6,13,30,23,3,6,9,13,20,19,2,0,3,18
11,0.03125,42,12,8,7,0,18,0,11,11,10,9,0,3,4,12,11,6,9,7,19,5,4,6,17,3,18
12,3.53125,42,23,15,14,8,10,3,1,8,7,9,1,2,1,23,12,3,12,6,15,5,4,9,8,6,9
13,0.875,42,37,17,16,0,16,0,0,37,16,9,0,8,9,17,16,1,10,8,1,27,12,8,10,8,0
14,0.0625,42,22,16,15,6,13,8,0,12,11,4,9,6,0,22,20,6,17,4,1,3,2,3,0,5,0
15,0.21875,42,25,19,18,6,1,0,13,18,17,0,4,3,18,25,19,0,16,6,13,23,8,2,9,6,11
16,0.0625,42,17,13,12,4,9,7,18,17,6,9,3,6,2,9,8,6,1,6,9,16,15,0,9,6,0
17,2.09375,42,23,23,19,0,10,6,5,10,9,6,0,0,3,9,8,8,9,3,8,16,15,3,3,3,18
18,0.390625,42,27,3,2,9,17,9,19,27,26,1,18,9,2,8,7,3,0,0,4,20,17,3,15,2,1
19,0.3125,42,22,11,10,8,19,9,10,20,9,0,6,3,2,22,21,9,3,3,18,16,15,3,0,6,12
20,2.96875,42,22,15,14,0,14,9,19,14,13,6,0,6,13,22,21,5,0,3,15,22,21,8,0,3,16
21,0.0625,42,27,25,24,8,18,0,2,27,14,3,5,0,12,10,9,0,19,0,10,18,17,3,6,7,19
22,0.09375,42,25,15,14,6,19,9,8,25,19,6,16,5,0,17,16,4,1,9,12,2,1,0,18,0,17
23,0.84375,42,31,9,8,4,19,3,12,20,19,6,16,2,1,19,17,3,19,3,2,31,16,0,19,6,15
24,0.484375,42,18,8,7,6,9,0,10,18,8,6,6,3,7,8,7,3,9,0,13,12,11,9,15,3,10
25,0.828125,42,17,17,16,9,9,2,18,5,4,4,19,7,18,14,8,6,17,9,16,6,5,4,1,8,0
26,0.0625,42,23,23,22,2,18,7,1,5,4,6,19,2,19,17,16,8,1,0,9,16,15,4,0,0,11
27,0.0625,42,15,15,7,3,19,6,17,11,10,9,8,1,10,12,11,0,14,6,19,5,4,4,0,3,3
28,1.359375,42,31,26,15,8,10,4,1,31,7,6,3,9,3,23,22,5,19,0,2,29,22,1,0,7,10
