episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.15625,42,,,,0,20,6,27,,,15,28,18,15,,,11,28,0,19,,,6.0,28.0,13.0,1.0,,,,,,
1,60.125,42,,,,1,16,14,15,,,0,21,15,14,,,8,14,13,29,,,19.0,24.0,16.0,1.0,,,,,,
2,60.21875,42,,,,7,15,7,12,,,0,29,6,12,,,17,29,1,11,,,7.0,1.0,19.0,13.0,,,,,,
3,60.09375,42,,,,15,29,9,14,,,11,15,6,29,,,6,20,7,1,,,17.0,14.0,1.0,22.0,,,,,,
4,60.140625,42,,,,0,21,18,15,,,10,0,17,15,,,19,4,3,0,,,0.0,14.0,11.0,0.0,,,,,,
5,4.0,42,40.0,27.0,26.0,15,1,19,23,21.0,20.0,13,14,7,0,40.0,27.0,6,9,19,5,,,,,,,10.0,9.0,1.0,7.0,0.0,15.0
6,0.296875,42,34.0,34.0,33.0,15,29,7,4,12.0,11.0,15,14,7,11,6.0,5.0,1,14,0,10,,,,,,,18.0,17.0,12.0,22.0,6.0,11.0
7,60.109375,42,,,,9,15,19,12,,,1,5,6,11,,,14,28,19,22,,,12.0,28.0,6.0,22.0,,,,,,
8,60.140625,42,,,,6,2,7,5,,,19,8,16,15,,,6,12,1,13,,,0.0,17.0,7.0,4.0,,,,,,
9,0.09375,42,27.0,18.0,16.0,12,29,10,15,14.0,13.0,7,6,12,14,27.0,26.0,6,3,19,16,,,,,,,10.0,9.0,0.0,29.0,1.0,21.0
10,60.140625,42,,,,6,28,13,14,,,1,6,0,22,,,17,22,5,29,,,11.0,0.0,15.0,15.0,,,,,,
11,60.265625,42,,,,17,22,6,16,,,6,27,19,6,,,16,28,4,0,,,17.0,29.0,1.0,24.0,,,,,,
12,60.234375,42,,,,12,28,1,15,,,11,1,16,28,,,1,2,0,1,,,17.0,22.0,16.0,15.0,,,,,,
13,60.15625,42,,,,16,1,13,15,,,15,29,3,0,,,12,1,10,1,,,7.0,5.0,7.0,3.0,,,,,,
14,60.125,42,,,,7,13,1,26,,,10,16,0,26,,,0,8,6,28,,,1.0,2.0,12.0,14.0,,,,,,
15,60.21875,42,,,,11,28,0,18,,,7,5,15,15,,,18,14,10,17,,,10.0,15.0,11.0,1.0,,,,,,
16,60.140625,42,,,,10,15,16,15,,,10,0,5,0,,,0,20,10,24,,,10.0,14.0,0.0,7.0,,,,,,
17,60.109375,42,,,,6,7,3,0,,,6,28,6,21,,,19,26,19,28,,,1.0,19.0,18.0,14.0,,,,,,
18,60.140625,42,,,,0,7,18,14,,,1,23,3,1,,,17,14,19,11,,,0.0,13.0,4.0,1.0,,,,,,
19,60.125,42,,,,6,27,7,13,,,12,0,16,0,,,0,28,19,29,,,10.0,1.0,12.0,1.0,,,,,,
20,19.015625,42,36.0,20.0,19.0,6,23,6,4,23.0,22.0,17,0,0,5,30.0,29.0,6,1,0,24,,,,,,,36.0,32.0,6.0,21.0,1.0,8.0
21,4.34375,42,31.0,31.0,15.0,15,22,13,29,20.0,19.0,14,0,1,6,13.0,12.0,13,1,19,7,,,,,,,29.0,28.0,0.0,20.0,7.0,3.0
22,0.09375,42,28.0,28.0,27.0,19,15,7,0,5.0,4.0,1,4,1,8,6.0,5.0,7,11,6,15,,,,,,,18.0,17.0,7.0,12.0,13.0,1.0
23,60.140625,42,,,,1,24,10,25,,,5,0,6,10,,,12,28,19,20,,,11.0,0.0,0.0,20.0,,,,,,
24,60.140625,42,,,,6,6,6,11,,,0,27,19,9,,,6,5,7,11,,,19.0,21.0,13.0,14.0,,,,,,
25,10.546875,42,54.0,31.0,30.0,2,0,1,29,50.0,22.0,15,15,13,29,54.0,30.0,19,22,16,1,,,,,,,36.0,35.0,7.0,2.0,15.0,29.0
26,0.109375,42,30.0,14.0,13.0,14,15,19,7,3.0,2.0,2,29,0,29,26.0,25.0,0,18,7,2,,,,,,,30.0,29.0,7.0,0.0,0.0,22.0
27,60.171875,42,,,,13,15,16,29,,,1,16,10,18,,,14,0,9,15,,,5.0,1.0,1.0,10.0,,,,,,
28,4.5,42,36.0,36.0,25.0,18,15,13,29,17.0,16.0,0,4,12,0,35.0,34.0,15,1,6,26,,,,,,,7.0,6.0,7.0,4.0,7.0,10.0
29,3.3125,42,41.0,9.0,8.0,10,29,11,22,19.0,18.0,1,2,0,19,39.0,31.0,10,19,15,1,,,,,,,41.0,25.0,5.0,1.0,0.0,21.0
30,0.5625,42,31.0,28.0,27.0,16,1,1,13,31.0,20.0,0,9,6,3,23.0,22.0,1,11,12,0,,,,,,,14.0,13.0,6.0,23.0,7.0,11.0
31,60.109375,42,,,,1,3,10,20,,,12,22,16,14,,,0,23,1,9,,,1.0,10.0,4.0,29.0,,,,,,
32,5.90625,42,33.0,13.0,12.0,19,27,10,26,13.0,6.0,10,19,10,21,11.0,8.0,7,0,4,1,,,,,,,33.0,30.0,19.0,12.0,6.0,7.0
33,60.1875,42,,,,0,5,7,8,,,1,4,7,4,,,19,20,16,0,,,6.0,23.0,0.0,14.0,,,,,,
34,60.15625,42,,,,0,18,7,10,,,3,0,6,29,,,7,9,19,15,,,12.0,14.0,1.0,6.0,,,,,,
35,0.1875,42,38.0,32.0,23.0,9,14,19,19,5.0,4.0,7,6,6,3,38.0,37.0,16,28,8,1,,,,,,,24.0,23.0,10.0,16.0,2.0,1.0
36,5.734375,42,54.0,31.0,28.0,6,28,17,15,31.0,30.0,3,29,0,2,54.0,31.0,0,4,19,6,,,,,,,23.0,22.0,18.0,1.0,6.0,11.0
37,9.515625,42,42.0,24.0,23.0,1,2,0,24,18.0,8.0,5,0,12,1,42.0,28.0,10,0,12,14,,,,,,,18.0,17.0,9.0,14.0,6.0,0.0
38,60.15625,42,,,,0,27,14,14,,,3,1,14,1,,,1,25,19,15,,,12.0,0.0,15.0,22.0,,,,,,
39,60.125,42,,,,6,1,19,24,,,0,24,1,22,,,10,26,1,24,,,19.0,10.0,0.0,8.0,,,,,,
40,60.1875,42,,,,1,2,5,1,,,10,1,17,22,,,9,15,7,3,,,6.0,12.0,16.0,29.0,,,,,,
41,60.15625,42,,,,19,21,11,1,,,6,0,4,0,,,1,16,10,28,,,19.0,19.0,7.0,15.0,,,,,,
42,60.203125,42,,,,19,8,1,11,,,1,28,1,7,,,19,28,9,0,,,19.0,15.0,0.0,10.0,,,,,,
43,60.203125,42,,,,4,29,1,4,,,6,27,19,5,,,19,22,0,20,,,19.0,28.0,14.0,29.0,,,,,,
44,12.578125,42,45.0,16.0,15.0,19,4,8,0,32.0,30.0,1,21,7,5,19.0,18.0,19,5,6,0,,,,,,,45.0,44.0,18.0,0.0,0.0,26.0
45,60.125,42,,,,0,5,6,21,,,15,22,6,13,,,6,4,19,3,,,12.0,0.0,0.0,21.0,,,,,,
46,4.0,42,47.0,20.0,19.0,14,29,19,15,47.0,22.0,6,15,19,18,27.0,26.0,2,0,1,25,,,,,,,29.0,28.0,14.0,15.0,0.0,1.0
47,60.1875,42,,,,0,7,19,5,,,0,28,1,5,,,0,15,14,29,,,17.0,22.0,1.0,11.0,,,,,,
48,60.1875,42,,,,6,12,0,10,,,10,23,1,14,,,13,29,3,1,,,19.0,1.0,5.0,29.0,,,,,,
49,60.171875,42,,,,19,29,7,12,,,15,29,6,27,,,6,1,1,2,,,19.0,23.0,19.0,14.0,,,,,,
50,60.1875,42,,,,0,3,1,0,,,1,9,0,4,,,1,22,12,22,,,3.0,0.0,19.0,22.0,,,,,,
51,0.140625,42,41.0,26.0,25.0,4,1,15,15,10.0,9.0,7,13,10,19,24.0,23.0,19,13,6,23,,,,,,,41.0,40.0,0.0,27.0,13.0,0.0
52,60.109375,42,,,,1,15,13,28,,,18,28,0,19,,,16,28,14,22,,,0.0,5.0,17.0,15.0,,,,,,
53,60.109375,42,,,,1,0,19,13,,,6,27,0,18,,,0,28,6,19,,,10.0,15.0,19.0,23.0,,,,,,
54,2.71875,42,50.0,34.0,33.0,1,0,5,29,50.0,40.0,7,9,19,19,15.0,14.0,7,14,8,1,,,,,,,38.0,37.0,4.0,29.0,12.0,0.0
55,11.984375,42,47.0,47.0,23.0,19,20,10,22,30.0,26.0,19,12,10,1,29.0,19.0,7,12,1,3,,,,,,,31.0,27.0,3.0,29.0,0.0,5.0
56,24.75,42,28.0,4.0,3.0,17,29,14,29,28.0,19.0,0,24,6,23,16.0,15.0,14,0,0,1,,,,,,,17.0,15.0,11.0,1.0,1.0,2.0
57,60.125,42,,,,19,22,19,14,,,1,8,14,22,,,10,22,16,28,,,1.0,11.0,6.0,26.0,,,,,,
58,2.625,42,52.0,3.0,2.0,11,1,12,0,41.0,40.0,16,0,0,24,49.0,48.0,18,0,3,29,,,,,,,52.0,14.0,7.0,5.0,0.0,4.0
59,60.125,42,,,,17,15,1,23,,,1,27,6,4,,,16,15,8,15,,,7.0,4.0,15.0,15.0,,,,,,
60,60.28125,42,,,,10,24,4,0,,,19,14,6,22,,,18,29,0,27,,,15.0,0.0,6.0,13.0,,,,,,
61,60.140625,42,,,,19,13,19,21,,,6,25,18,29,,,0,26,2,29,,,11.0,28.0,7.0,1.0,,,,,,
62,60.109375,42,,,,8,15,19,28,,,1,26,14,28,,,2,1,17,29,,,1.0,24.0,17.0,0.0,,,,,,
63,60.1875,42,,,,19,20,7,6,,,0,24,10,22,,,19,2,6,9,,,0.0,15.0,1.0,3.0,,,,,,
64,60.171875,42,,,,1,14,19,12,,,17,14,1,2,,,6,0,19,10,,,5.0,29.0,19.0,11.0,,,,,,
65,0.21875,42,39.0,39.0,13.0,1,7,7,2,23.0,22.0,1,5,0,26,35.0,34.0,3,29,9,1,,,,,,,6.0,5.0,10.0,23.0,10.0,18.0
66,60.078125,42,,,,0,4,1,9,,,13,22,17,22,,,0,12,6,26,,,1.0,14.0,10.0,21.0,,,,,,
67,60.109375,42,,,,8,0,17,15,,,12,22,6,0,,,16,22,19,26,,,6.0,18.0,7.0,13.0,,,,,,
68,0.078125,42,28.0,28.0,27.0,19,1,0,9,14.0,13.0,16,14,7,10,28.0,27.0,18,1,1,11,,,,,,,25.0,24.0,14.0,15.0,9.0,0.0
69,60.140625,42,,,,19,4,11,15,,,1,24,10,16,,,1,22,19,18,,,1.0,27.0,6.0,23.0,,,,,,
70,41.078125,42,48.0,19.0,18.0,0,11,8,1,44.0,31.0,0,1,19,5,48.0,28.0,6,13,0,23,,,,,,,31.0,30.0,3.0,1.0,19.0,13.0
71,60.09375,42,,,,0,21,6,20,,,17,22,19,12,,,0,24,12,29,,,0.0,11.0,0.0,22.0,,,,,,
72,60.140625,42,,,,17,28,1,24,,,18,0,19,25,,,16,22,6,1,,,19.0,7.0,10.0,18.0,,,,,,
73,10.90625,42,47.0,39.0,38.0,10,29,1,0,7.0,6.0,11,15,17,15,39.0,36.0,10,27,9,0,,,,,,,47.0,16.0,15.0,29.0,14.0,22.0
74,7.1875,42,33.0,13.0,12.0,7,15,7,3,33.0,31.0,19,22,16,0,14.0,13.0,18,15,6,16,,,,,,,33.0,32.0,6.0,1.0,17.0,22.0
75,60.21875,42,,,,12,29,0,13,,,11,14,1,2,,,1,27,6,27,,,2.0,1.0,7.0,7.0,,,,,,
76,60.15625,42,,,,1,7,6,5,,,6,23,6,12,,,10,24,7,13,,,1.0,23.0,6.0,11.0,,,,,,
77,60.15625,42,,,,14,15,1,11,,,6,2,12,29,,,6,27,1,23,,,6.0,14.0,4.0,1.0,,,,,,
78,26.40625,42,39.0,23.0,22.0,19,18,7,8,28.0,21.0,12,14,15,22,39.0,28.0,19,10,6,3,,,,,,,3.0,2.0,16.0,14.0,18.0,14.0
79,60.203125,42,,,,7,3,7,10,,,9,0,11,28,,,19,20,1,16,,,18.0,1.0,16.0,28.0,,,,,,
80,60.15625,42,,,,10,0,0,16,,,8,15,3,29,,,15,15,1,10,,,11.0,0.0,14.0,15.0,,,,,,
81,60.125,42,,,,0,8,7,13,,,1,16,18,28,,,10,22,19,11,,,13.0,1.0,1.0,0.0,,,,,,
82,36.8125,42,46.0,46.0,45.0,10,26,14,1,40.0,25.0,11,1,10,19,3.0,2.0,0,21,0,19,,,,,,,19.0,18.0,19.0,19.0,10.0,28.0
83,60.15625,42,,,,8,1,19,20,,,19,15,1,8,,,14,0,16,22,,,1.0,1.0,6.0,21.0,,,,,,
84,60.15625,42,,,,10,21,16,15,,,6,29,19,14,,,16,0,19,17,,,19.0,29.0,0.0,20.0,,,,,,
85,0.015625,42,9.0,8.0,7.0,14,0,8,1,7.0,6.0,10,21,10,27,5.0,4.0,0,11,1,8,,,,,,,9.0,8.0,1.0,28.0,0.0,21.0
86,60.125,42,,,,1,9,10,17,,,0,29,7,6,,,10,15,7,4,,,0.0,1.0,12.0,22.0,,,,,,
87,60.171875,42,,,,8,1,16,22,,,14,1,8,0,,,15,14,7,10,,,19.0,11.0,1.0,23.0,,,,,,
88,60.109375,42,,,,10,23,0,27,,,1,1,16,0,,,19,14,0,26,,,18.0,0.0,14.0,0.0,,,,,,
