episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.046875,42,,,,0,20,8,14,,,15,28,19,24,,,11,28,14,15,,,6,28,15,14,,,6,27,13,29,,,18,15,16,1,,,0,19,7,15,,,13,1,0,29,,,1,16,17,29,,,0.0,21.0,7.0,1.0,,,,,,
1,60.03125,42,,,,7,12,7,1,,,6,12,1,22,,,1,11,0,21,,,19,13,10,0,,,15,29,19,4,,,11,15,0,14,,,6,20,18,15,,,17,14,17,15,,,9,14,3,0,,,6.0,29.0,11.0,0.0,,,,,,
2,60.03125,42,,,,1,7,15,14,,,15,1,1,14,,,13,14,6,11,,,6,9,7,4,,,0,15,7,11,,,19,23,0,10,,,7,0,9,15,,,19,5,1,5,,,12,22,14,28,,,15.0,29.0,12.0,28.0,,,,,,
3,60.03125,42,,,,19,12,16,15,,,14,28,1,13,,,6,11,7,4,,,19,22,0,29,,,6,22,12,29,,,6,2,7,6,,,19,8,6,3,,,6,12,1,21,,,0,17,10,15,,,7.0,5.0,12.0,14.0,,,,,,
4,60.046875,42,,,,19,16,16,28,,,6,28,17,29,,,1,6,6,16,,,17,22,19,6,,,11,0,4,0,,,13,14,1,24,,,0,22,12,28,,,5,29,11,1,,,15,15,1,2,,,6.0,27.0,1.0,15.0,,,,,,
5,60.03125,42,,,,16,28,7,3,,,0,1,7,13,,,16,15,10,16,,,16,1,0,8,,,15,29,1,2,,,12,1,1,26,,,7,5,0,26,,,13,15,6,28,,,3,0,12,14,,,10.0,1.0,11.0,28.0,,,,,,
6,60.03125,42,,,,7,5,16,15,,,18,14,5,0,,,10,15,10,24,,,0,18,0,7,,,15,15,6,7,,,10,17,6,28,,,11,1,19,26,,,10,0,1,19,,,0,20,3,0,,,10.0,14.0,6.0,21.0,,,,,,
7,60.0625,42,,,,19,28,12,0,,,18,14,0,28,,,0,7,10,1,,,1,23,7,13,,,17,14,16,0,,,0,13,19,29,,,3,1,12,1,,,19,11,6,21,,,4,1,6,23,,,6.0,27.0,17.0,0.0,,,,,,
8,60.015625,42,,,,6,1,13,29,,,1,8,1,6,,,6,4,19,7,,,0,5,7,12,,,0,24,19,15,,,0,20,1,4,,,15,22,7,11,,,14,0,7,0,,,13,1,6,15,,,7.0,3.0,1.0,24.0,,,,,,
9,60.03125,42,,,,5,0,19,21,,,12,28,6,11,,,11,0,19,9,,,10,25,7,11,,,6,10,13,14,,,19,20,7,2,,,0,20,2,0,,,6,6,15,15,,,0,27,19,22,,,6.0,5.0,15.0,29.0,,,,,,
