episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.015625,42,,,,0,20,19,24,,,15,28,14,15,,,11,28,15,14,,,6,28,13,29,,,6,27,16,1,,,18,15,7,15,,,0,19,0,29,,,13,1,17,29,,,1,16,7,1,,,0,21,7,12,,,8.0,14.0,6.0,12.0,,,,,,
1,0.0625,42,57.0,10.0,9.0,19,13,19,4,57.0,56.0,15,29,0,14,8.0,7.0,11,15,18,15,17.0,16.0,6,20,17,15,29.0,28.0,17,14,3,0,21.0,20.0,9,14,11,0,30.0,29.0,6,29,1,7,9.0,8.0,7,1,15,1,35.0,34.0,1,22,13,14,35.0,34.0,0,21,6,9,,,,,,,21.0,20.0,1.0,11.0,10.0,0.0
2,60.015625,42,,,,0,15,0,10,,,19,23,9,15,,,7,0,1,5,,,19,5,14,28,,,12,22,12,28,,,15,29,19,12,,,15,14,19,22,,,1,14,6,22,,,6,11,6,2,,,7,4,19,8,,,7.0,11.0,6.0,12.0,,,,,,
3,60.046875,42,,,,0,17,12,14,,,7,5,19,16,,,16,15,6,28,,,1,13,1,6,,,7,4,17,22,,,0,29,11,0,,,12,29,13,14,,,7,6,0,22,,,6,3,5,29,,,1,21,15,15,,,10.0,15.0,6.0,27.0,,,,,,
4,60.046875,42,,,,16,28,0,1,,,17,29,16,15,,,6,16,16,1,,,19,6,15,29,,,4,0,12,1,,,1,24,7,5,,,12,28,13,15,,,11,1,3,0,,,1,2,10,1,,,17,22,7,3,,,1.0,15.0,7.0,13.0,,,,,,
5,60.0625,42,,,,10,16,0,18,,,0,8,15,15,,,1,2,10,17,,,1,26,11,1,,,0,26,10,0,,,6,28,0,20,,,12,14,10,14,,,11,28,16,15,,,7,5,5,0,,,18,14,10,24,,,10.0,15.0,0.0,7.0,,,,,,
6,60.015625,42,,,,6,7,0,13,,,6,28,3,1,,,19,26,19,11,,,1,19,4,1,,,3,0,6,27,,,6,21,12,0,,,19,28,0,28,,,18,14,10,1,,,0,7,7,13,,,1,23,16,0,,,17.0,14.0,19.0,29.0,,,,,,
7,60.0625,42,,,,12,1,14,0,,,6,21,13,1,,,6,23,7,3,,,17,0,13,29,,,6,1,1,6,,,1,8,19,7,,,6,4,7,12,,,0,5,19,15,,,0,24,1,4,,,0,20,7,11,,,15.0,22.0,7.0,0.0,,,,,,
8,0.1875,42,44.0,11.0,10.0,6,15,6,5,44.0,43.0,1,24,19,21,15.0,14.0,5,0,6,11,27.0,26.0,12,28,19,9,16.0,15.0,11,0,7,11,15.0,14.0,10,25,13,14,10.0,9.0,6,10,7,2,38.0,37.0,19,20,2,0,39.0,38.0,0,20,15,15,30.0,29.0,6,6,19,22,,,,,,,21.0,20.0,1.0,8.0,0.0,27.0
9,60.046875,42,,,,2,0,0,29,,,15,29,7,2,,,1,29,13,15,,,13,29,1,16,,,16,1,14,0,,,7,0,5,1,,,14,15,16,29,,,2,29,10,18,,,0,18,9,15,,,0,22,1,10,,,19.0,7.0,7.0,4.0,,,,,,
10,60.046875,42,,,,18,15,0,21,,,0,4,11,22,,,15,1,0,19,,,7,10,6,23,,,13,29,16,1,,,12,0,0,9,,,6,26,1,11,,,5,1,7,11,,,10,29,1,13,,,1,2,6,3,,,10.0,19.0,1.0,3.0,,,,,,
11,60.046875,42,,,,12,22,6,7,,,0,23,10,26,,,1,10,10,21,,,10,20,4,1,,,16,14,0,5,,,1,9,1,4,,,4,29,19,20,,,19,12,6,23,,,19,27,7,8,,,10,19,7,4,,,7.0,0.0,16.0,0.0,,,,,,
12,60.046875,42,,,,0,14,7,6,,,0,18,16,28,,,3,0,2,1,,,7,9,19,19,,,12,14,6,3,,,7,10,8,1,,,6,29,18,1,,,19,15,6,28,,,1,6,3,29,,,10,16,0,4,,,9.0,14.0,6.0,11.0,,,,,,
13,60.046875,42,,,,17,15,0,27,,,0,2,3,1,,,19,6,1,25,,,9,14,12,0,,,1,2,14,14,,,5,0,14,1,,,10,0,19,15,,,6,0,15,22,,,0,24,6,1,,,12,1,10,26,,,12.0,14.0,19.0,10.0,,,,,,
