episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.015625,42,,,,0,10,6,19,,,7,19,8,1,,,6,11,5,1,,,3,18,0,14,,,9,3,9,1,,,0,9,4,0,,,6,16,5,0,,,1,10,3,11,,,5,10,1,1,,,9,17,9,11,,,7,1,8,0,,,7.0,18.0,6.0,10.0,,,,,,
1,60.03125,42,,,,3,14,3,0,,,8,19,6,9,,,5,19,0,19,,,3,19,7,10,,,4,0,6,17,,,2,0,3,9,,,0,10,9,16,,,6,0,9,7,,,9,6,6,14,,,0,7,8,0,,,9,3,7,18,,,9.0,0.0,1.0,9.0,,,,,,
2,60.03125,42,,,,3,10,9,9,,,4,9,0,8,,,4,19,8,9,,,0,5,1,1,,,5,19,4,1,,,0,17,0,15,,,7,9,4,10,,,6,15,3,6,,,9,11,2,0,,,9,16,6,1,,,3,15,6,13,,,3.0,5.0,9.0,13.0,,,,,,
3,60.046875,42,,,,3,18,3,1,,,0,18,2,1,,,9,0,6,15,,,6,9,0,16,,,6,17,1,10,,,0,11,0,0,,,3,4,8,9,,,7,19,8,1,,,8,10,8,0,,,9,1,6,13,,,3,12,4,9,,,9.0,8.0,3.0,0.0,,,,,,
4,60.03125,42,,,,8,0,4,9,,,6,0,9,3,,,4,1,0,9,,,5,0,7,18,,,6,1,6,2,,,0,4,6,9,,,0,16,0,10,,,2,9,8,9,,,0,13,3,3,,,3,18,6,5,,,6,13,0,3,,,6.0,11.0,3.0,8.0,,,,,,
5,60.0625,42,,,,3,18,9,10,,,9,17,3,2,,,1,18,6,12,,,3,0,0,14,,,3,15,6,0,,,9,19,5,0,,,9,2,8,0,,,0,4,6,13,,,2,1,3,16,,,8,19,8,18,,,0,6,3,5,,,9.0,3.0,0.0,19.0,,,,,,
6,60.0625,42,,,,3,6,0,17,,,0,2,4,19,,,0,12,3,19,,,0,10,0,19,,,7,19,3,12,,,6,19,2,1,,,6,16,3,2,,,4,1,6,15,,,0,18,6,9,,,9,8,6,6,,,5,0,3,9,,,9.0,12.0,9.0,15.0,,,,,,
7,60.046875,42,,,,0,10,8,0,,,3,7,6,19,,,0,13,8,1,,,9,15,4,0,,,3,10,7,1,,,9,9,2,19,,,4,19,0,9,,,6,17,0,11,,,4,1,3,19,,,2,18,9,8,,,7,18,0,14,,,9.0,16.0,1.0,10.0,,,,,,
8,60.03125,42,,,,6,19,3,18,,,3,3,6,8,,,8,10,0,16,,,6,3,0,10,,,5,19,6,11,,,1,0,0,9,,,4,1,3,16,,,9,3,8,1,,,0,2,0,4,,,7,10,1,1,,,4,19,3,6,,,6.0,12.0,6.0,14.0,,,,,,
9,60.03125,42,,,,0,11,0,2,,,1,0,0,17,,,6,4,9,15,,,8,9,3,16,,,0,19,4,10,,,3,2,4,9,,,9,11,8,0,,,9,18,0,7,,,6,3,0,9,,,3,19,2,19,,,3,8,4,18,,,6.0,7.0,6.0,13.0,,,,,,
