episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.046875,42,,,,0,10,5,10,,,7,19,9,17,,,6,11,7,1,,,3,18,7,18,,,9,3,6,19,,,0,9,8,1,,,6,16,5,1,,,1.0,10.0,0.0,14.0,,,,,,
1,0.078125,42,24.0,24.0,23.0,4,0,8,19,22.0,21.0,5,0,5,19,9.0,8.0,3,11,3,19,3.0,2.0,1,1,2,0,11.0,10.0,9,11,0,10,3.0,2.0,8,0,6,0,8.0,7.0,6,10,9,6,,,,,,,21.0,19.0,9.0,1.0,3.0,14.0
2,0.140625,42,28.0,14.0,13.0,9,3,9,16,26.0,25.0,9,0,3,19,14.0,13.0,3,0,9,7,6.0,5.0,6,9,6,14,28.0,27.0,0,19,8,0,13.0,12.0,7,10,7,18,16.0,15.0,6,17,1,9,,,,,,,6.0,5.0,0.0,7.0,3.0,9.0
3,60.015625,42,,,,3,10,9,11,,,4,9,9,16,,,4,19,3,15,,,0,5,3,5,,,5,19,9,9,,,0,17,0,8,,,7,9,8,9,,,6.0,15.0,1.0,1.0,,,,,,
4,60.015625,42,,,,4,1,9,13,,,0,15,3,18,,,6,15,0,18,,,4,10,9,0,,,3,6,6,9,,,2,0,6,17,,,6,1,0,11,,,6.0,13.0,3.0,4.0,,,,,,
5,0.4375,42,24.0,19.0,18.0,9,0,6,15,13.0,12.0,3,18,6,9,15.0,14.0,8,10,0,16,18.0,17.0,9,1,1,10,16.0,15.0,3,12,0,0,3.0,2.0,9,8,8,9,6.0,5.0,3,1,8,1,,,,,,,24.0,23.0,7.0,19.0,2.0,1.0
6,0.09375,42,22.0,16.0,15.0,6,13,0,4,12.0,11.0,4,9,0,16,13.0,12.0,6,17,2,9,17.0,16.0,3,0,0,13,22.0,21.0,6,0,3,18,14.0,12.0,4,1,6,11,8.0,7.0,5,0,9,3,,,,,,,5.0,3.0,8.0,0.0,6.0,1.0
7,60.046875,42,,,,6,1,3,3,,,0,9,6,5,,,7,18,0,3,,,6,2,3,8,,,6,9,3,18,,,6,0,9,17,,,0,10,1,18,,,8.0,9.0,3.0,0.0,,,,,,
8,0.109375,42,24.0,10.0,9.0,9,19,9,10,9.0,8.0,9,2,3,2,24.0,23.0,0,4,3,18,16.0,15.0,2,1,6,12,14.0,13.0,8,19,0,14,13.0,12.0,0,6,6,0,8.0,7.0,9,3,5,0,,,,,,,22.0,21.0,3.0,15.0,3.0,0.0
9,60.046875,42,,,,8,0,3,6,,,9,19,0,2,,,6,13,0,12,,,3,15,0,10,,,3,16,7,19,,,8,18,6,19,,,3,5,6,16,,,0.0,19.0,4.0,1.0,,,,,,
10,0.0,42,17.0,2.0,1.0,0,18,0,19,11.0,10.0,9,8,3,12,5.0,4.0,5,0,2,1,17.0,16.0,9,12,3,2,11.0,10.0,0,17,6,15,13.0,12.0,4,19,6,9,11.0,10.0,6,16,6,6,,,,,,,4.0,3.0,6.0,19.0,3.0,19.0
11,0.0625,42,25.0,20.0,19.0,9,15,4,1,11.0,10.0,0,10,2,18,16.0,15.0,3,7,7,18,17.0,16.0,0,13,9,16,16.0,15.0,3,10,8,0,14.0,13.0,9,9,6,19,25.0,24.0,4,19,8,1,,,,,,,13.0,11.0,3.0,9.0,6.0,17.0
12,0.015625,42,20.0,16.0,15.0,7,1,1,10,5.0,4.0,2,19,6,19,10.0,9.0,0,9,3,3,10.0,9.0,0,11,8,10,20.0,19.0,3,19,6,3,16.0,15.0,9,8,5,19,16.0,15.0,0,14,1,0,,,,,,,20.0,19.0,4.0,0.0,6.0,17.0
13,60.03125,42,,,,4,1,3,3,,,9,3,6,8,,,0,2,0,16,,,7,10,6,3,,,4,19,0,10,,,6,19,6,11,,,6,12,0,9,,,3.0,18.0,3.0,16.0,,,,,,
14,60.046875,42,,,,8,1,6,14,,,0,4,0,11,,,1,0,6,4,,,4,19,8,9,,,1,1,0,19,,,3,6,3,2,,,6,12,9,11,,,0.0,16.0,9.0,18.0,,,,,,
15,0.0,42,20.0,4.0,3.0,3,19,3,16,4.0,3.0,3,8,4,10,5.0,4.0,6,7,4,9,7.0,6.0,6,4,8,0,11.0,10.0,3,2,0,7,8.0,7.0,0,2,0,9,5.0,4.0,0,17,2,19,,,,,,,20.0,19.0,6.0,3.0,9.0,15.0
16,0.0,42,21.0,10.0,9.0,6,13,2,18,12.0,11.0,3,19,9,14,13.0,12.0,9,12,3,6,7.0,6.0,0,18,5,19,9.0,8.0,6,2,5,9,21.0,20.0,5,18,9,2,11.0,10.0,4,9,3,18,,,,,,,15.0,14.0,4.0,18.0,8.0,10.0
17,60.03125,42,,,,3,1,3,3,,,0,2,6,0,,,3,10,3,4,,,8,19,0,12,,,0,1,6,13,,,9,7,0,13,,,5,18,3,0,,,0.0,16.0,2.0,9.0,,,,,,
18,60.03125,42,,,,6,12,9,17,,,7,0,2,0,,,9,12,2,1,,,7,19,0,4,,,3,5,0,16,,,0,12,6,0,,,6,7,5,19,,,9.0,10.0,3.0,11.0,,,,,,
19,60.046875,42,,,,3,3,6,9,,,9,0,3,1,,,4,1,6,8,,,8,10,5,1,,,9,15,9,9,,,3,4,2,10,,,1,10,9,19,,,9.0,14.0,9.0,12.0,,,,,,
20,60.015625,42,,,,1,0,0,17,,,0,19,9,7,,,5,10,0,10,,,0,5,7,9,,,3,2,9,2,,,3,18,1,19,,,9,16,0,13,,,9.0,19.0,5.0,9.0,,,,,,
21,60.03125,42,,,,4,9,9,6,,,3,4,0,10,,,0,2,7,1,,,7,19,7,9,,,3,6,3,12,,,6,12,2,18,,,3,15,0,0,,,3.0,11.0,9.0,12.0,,,,,,
22,60.015625,42,,,,9,13,7,9,,,2,1,1,0,,,0,3,3,10,,,0,14,6,5,,,0,7,6,19,,,9,0,9,5,,,9,7,0,5,,,0.0,17.0,1.0,9.0,,,,,,
23,60.046875,42,,,,3,0,3,18,,,3,3,0,16,,,9,19,9,12,,,8,0,0,1,,,3,5,1,0,,,9,16,2,0,,,4,19,0,15,,,5.0,0.0,0.0,2.0,,,,,,
24,60.015625,42,,,,6,14,6,3,,,9,16,3,16,,,0,14,1,10,,,3,2,9,4,,,5,0,8,10,,,9,11,0,2,,,6,16,6,18,,,7.0,18.0,0.0,9.0,,,,,,
25,60.03125,42,,,,7,1,3,14,,,8,19,9,16,,,0,15,3,2,,,3,18,4,18,,,0,14,5,0,,,6,1,6,12,,,9,11,3,4,,,0.0,9.0,9.0,14.0,,,,,,
26,0.015625,42,20.0,12.0,11.0,3,1,6,9,15.0,14.0,9,15,9,1,13.0,12.0,9,11,0,12,3.0,2.0,4,19,6,19,15.0,14.0,0,2,0,16,6.0,5.0,6,5,7,9,20.0,19.0,6,0,3,16,,,,,,,14.0,13.0,5.0,9.0,0.0,17.0
27,60.03125,42,,,,0,0,3,18,,,9,16,4,9,,,0,19,6,9,,,6,5,8,1,,,1,1,9,2,,,9,12,0,2,,,7,1,6,12,,,8.0,10.0,0.0,12.0,,,,,,
