episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.046875,42,,,,0,10,9,17,,,7,19,7,1,,,6,11,7,18,,,3,18,6,19,,,9,3,8,1,,,0,9,5,1,,,6,16,0,14,,,1,10,9,1,,,5.0,10.0,4.0,0.0,,,,,,
1,60.046875,42,,,,5,0,3,19,,,3,11,4,0,,,1,1,2,0,,,9,11,0,10,,,8,0,6,0,,,6,10,9,6,,,3,14,0,7,,,8,19,9,3,,,5.0,19.0,9.0,0.0,,,,,,
2,60.03125,42,,,,3,0,9,7,,,6,9,6,14,,,0,19,8,0,,,7,10,7,18,,,6,17,1,9,,,3,9,3,10,,,0,7,4,9,,,9,16,4,19,,,3.0,19.0,0.0,5.0,,,,,,
3,60.046875,42,,,,5,19,9,9,,,0,17,0,8,,,7,9,4,9,,,6,15,8,9,,,9,11,1,1,,,3,10,4,1,,,9,16,0,15,,,3,15,4,10,,,3.0,5.0,3.0,6.0,,,,,,
4,60.046875,42,,,,2,0,0,11,,,6,1,3,4,,,6,13,7,19,,,9,13,8,10,,,3,18,9,1,,,0,18,3,12,,,9,0,9,8,,,6,9,3,1,,,6.0,17.0,2.0,1.0,,,,,,
5,60.03125,42,,,,6,15,8,0,,,6,9,6,13,,,0,16,4,9,,,9,0,6,17,,,1,10,3,0,,,8,10,6,0,,,0,0,4,1,,,8,9,5,0,,,8.0,1.0,6.0,1.0,,,,,,
6,60.046875,42,,,,0,4,6,1,,,0,16,0,9,,,2,9,7,18,,,0,13,6,2,,,3,18,6,9,,,6,13,6,0,,,6,11,0,10,,,4,9,8,9,,,9.0,3.0,3.0,3.0,,,,,,
7,0.015625,42,24.0,2.0,1.0,0,3,0,4,9.0,8.0,3,8,2,1,7.0,6.0,3,18,8,19,21.0,20.0,9,17,0,6,24.0,23.0,1,18,9,3,17.0,16.0,3,0,9,10,14.0,13.0,3,15,3,2,11.0,10.0,9,19,6,12,,,,,,,11.0,10.0,6.0,5.0,9.0,2.0
8,60.046875,42,,,,0,14,3,5,,,6,0,0,19,,,5,0,3,6,,,8,0,0,2,,,9,19,0,12,,,6,13,0,10,,,3,15,7,19,,,3,16,6,19,,,8.0,18.0,6.0,16.0,,,,,,
9,60.03125,42,,,,4,1,3,19,,,6,19,0,19,,,0,18,3,12,,,9,8,2,1,,,5,0,3,2,,,9,12,6,15,,,0,17,6,9,,,4,19,6,6,,,6.0,16.0,3.0,9.0,,,,,,
