episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
0,0.0,42,18.0,17.0,16.0,0.0,10.0,9.0,3.0,18.0,17.0,7,19,0,9,6.0,5.0,6,11,6,16,11.0,10.0,3,18,1,10,,,,,,
1,0.0,42,18.0,16.0,15.0,0.0,10.0,7.0,18.0,11.0,10.0,5,10,6,19,18.0,17.0,9,17,8,1,3.0,2.0,7,1,5,1,,,,,,
2,0.0,42,17.0,9.0,8.0,0.0,14.0,3.0,11.0,9.0,8.0,9,1,1,1,17.0,16.0,4,0,9,11,4.0,3.0,5,0,8,0,,,,,,
3,0.0,42,26.0,13.0,12.0,6.0,10.0,3.0,19.0,16.0,15.0,3,14,4,0,26.0,25.0,8,19,2,0,15.0,14.0,5,19,0,10,,,,,,
4,0.015625,42,30.0,4.0,3.0,6.0,0.0,9.0,0.0,13.0,12.0,9,6,3,0,9.0,8.0,0,7,6,9,30.0,29.0,9,3,0,19,,,,,,
5,0.0,42,14.0,9.0,8.0,7.0,10.0,9.0,16.0,6.0,5.0,6,17,3,19,9.0,8.0,3,9,9,7,14.0,13.0,0,7,6,14,,,,,,
6,0.046875,42,14.0,14.0,13.0,8.0,0.0,4.0,9.0,5.0,4.0,7,18,4,19,6.0,5.0,1,9,0,5,12.0,11.0,3,10,5,19,,,,,,
7,0.0,42,13.0,11.0,10.0,0.0,17.0,3.0,10.0,10.0,9.0,7,9,9,16,10.0,9.0,6,15,3,15,13.0,12.0,9,11,3,5,,,,,,
8,0.0,42,14.0,2.0,1.0,9.0,9.0,8.0,9.0,14.0,13.0,3,10,1,1,12.0,11.0,0,8,4,1,11.0,10.0,4,9,0,15,,,,,,
9,0.015625,42,20.0,15.0,14.0,6.0,15.0,6.0,1.0,18.0,17.0,4,10,6,13,14.0,13.0,3,6,9,13,20.0,19.0,2,0,3,18,,,,,,
10,0.0,42,12.0,8.0,7.0,0.0,18.0,0.0,11.0,11.0,10.0,9,0,3,4,12.0,11.0,6,9,7,19,5.0,4.0,6,17,3,18,,,,,,
11,0.0,42,15.0,15.0,14.0,8.0,10.0,3.0,1.0,8.0,7.0,9,1,2,1,11.0,10.0,3,12,6,15,5.0,4.0,9,8,6,9,,,,,,
12,0.0,42,17.0,17.0,16.0,0.0,16.0,0.0,0.0,11.0,10.0,9,0,8,9,17.0,16.0,1,10,8,1,15.0,14.0,8,10,8,0,,,,,,
13,0.09375,42,19.0,16.0,15.0,6.0,13.0,8.0,0.0,12.0,11.0,4,9,6,0,19.0,18.0,6,17,4,1,3.0,2.0,3,0,5,0,,,,,,
14,0.0,42,19.0,19.0,18.0,6.0,1.0,0.0,13.0,18.0,17.0,0,4,3,18,14.0,13.0,0,16,6,13,7.0,6.0,2,9,6,11,,,,,,
15,0.0,42,16.0,13.0,12.0,4.0,9.0,7.0,18.0,7.0,6.0,9,3,6,2,9.0,8.0,6,1,6,9,16.0,15.0,0,9,6,0,,,,,,
16,0.09375,42,16.0,12.0,11.0,0.0,10.0,6.0,5.0,10.0,9.0,6,0,0,3,9.0,6.0,8,9,3,8,16.0,15.0,3,3,3,18,,,,,,
17,0.0,42,25.0,3.0,2.0,9.0,17.0,9.0,19.0,25.0,24.0,1,18,9,2,8.0,7.0,3,0,0,4,16.0,15.0,3,15,2,1,,,,,,
18,0.0,42,22.0,11.0,10.0,8.0,19.0,9.0,10.0,10.0,9.0,0,6,3,2,22.0,21.0,9,3,3,18,16.0,15.0,3,0,6,12,,,,,,
19,60.015625,42,,,,,,,,,,0,14,9,19,,,6,0,6,13,,,5,0,3,15,,,8.0,0.0,3.0,16.0
20,60.078125,42,,,,,,,,,,8,18,0,2,,,3,5,0,12,,,0,19,0,10,,,3.0,6.0,7.0,19.0
21,0.0,42,19.0,15.0,14.0,6.0,19.0,9.0,8.0,18.0,17.0,6,16,5,0,19.0,18.0,4,1,9,12,2.0,1.0,0,18,0,17,,,,,,
22,0.015625,42,20.0,9.0,8.0,4.0,19.0,3.0,12.0,20.0,19.0,6,16,2,1,18.0,17.0,3,19,3,2,11.0,10.0,0,19,6,15,,,,,,
23,0.0,42,12.0,8.0,7.0,6.0,9.0,0.0,10.0,9.0,8.0,6,6,3,7,8.0,7.0,3,9,0,13,12.0,11.0,9,15,3,10,,,,,,
24,0.0,42,17.0,17.0,16.0,9.0,9.0,2.0,18.0,5.0,4.0,4,19,7,18,7.0,6.0,6,17,9,16,6.0,5.0,4,1,8,0,,,,,,
25,0.0,42,23.0,23.0,22.0,2.0,18.0,7.0,1.0,5.0,4.0,6,19,2,19,17.0,16.0,8,1,0,9,16.0,15.0,4,0,0,11,,,,,,
26,0.0,42,12.0,6.0,5.0,3.0,19.0,6.0,17.0,11.0,10.0,9,8,1,10,12.0,11.0,0,14,6,19,5.0,4.0,4,0,3,3,,,,,,
27,0.0,42,23.0,14.0,13.0,8.0,10.0,4.0,1.0,8.0,7.0,6,3,9,3,23.0,22.0,5,19,0,2,17.0,16.0,1,0,7,10,,,,,,
28,60.046875,42,,,,,,,,,,4,19,3,3,,,6,19,6,8,,,6,12,0,16,,,3.0,18.0,6.0,3.0
29,0.0,42,11.0,10.0,9.0,0.0,10.0,7.0,10.0,11.0,10.0,6,11,3,16,10.0,9.0,6,8,8,1,6.0,5.0,0,9,0,4,,,,,,
30,0.0,42,19.0,18.0,17.0,1.0,0.0,6.0,12.0,8.0,7.0,4,19,0,16,19.0,18.0,1,1,6,14,9.0,8.0,3,6,0,11,,,,,,
31,0.0,42,23.0,5.0,4.0,1.0,0.0,3.0,2.0,11.0,10.0,6,4,9,11,11.0,10.0,8,9,9,18,23.0,22.0,0,19,6,3,,,,,,
32,0.0,42,18.0,18.0,17.0,3.0,19.0,3.0,2.0,12.0,11.0,3,8,0,2,17.0,16.0,6,7,0,17,15.0,14.0,6,4,9,15,,,,,,
33,60.015625,42,,,,,,,,,,3,16,0,7,,,4,10,0,9,,,4,9,2,19,,,8.0,0.0,4.0,18.0
34,60.03125,42,,,,,,,,,,6,13,0,18,,,4,18,6,2,,,3,19,5,18,,,9.0,12.0,4.0,9.0
35,0.015625,42,17.0,13.0,12.0,8.0,10.0,5.0,19.0,17.0,16.0,2,18,5,9,13.0,12.0,9,14,9,2,13.0,12.0,3,6,3,18,,,,,,
36,0.0,42,19.0,4.0,3.0,3.0,1.0,0.0,1.0,19.0,18.0,0,2,9,7,11.0,10.0,3,10,5,18,12.0,11.0,8,19,0,16,,,,,,
37,0.0,42,20.0,18.0,17.0,3.0,3.0,6.0,13.0,20.0,19.0,6,0,0,13,5.0,4.0,3,4,3,0,6.0,5.0,0,12,2,9,,,,,,
38,0.0,42,20.0,11.0,10.0,6.0,12.0,3.0,5.0,20.0,19.0,7,0,0,12,9.0,8.0,9,12,6,7,12.0,11.0,7,19,9,10,,,,,,
39,60.0625,42,,,,,,,,,,9,17,0,16,,,2,0,6,0,,,2,1,5,19,,,0.0,4.0,3.0,11.0
40,60.046875,42,,,,,,,,,,3,3,9,15,,,9,0,3,4,,,4,1,1,10,,,8.0,10.0,9.0,14.0
41,0.0,42,16.0,4.0,3.0,6.0,9.0,9.0,9.0,11.0,10.0,3,1,2,10,15.0,14.0,6,8,9,19,16.0,15.0,5,1,9,12,,,,,,
42,0.0,42,24.0,5.0,4.0,1.0,0.0,3.0,2.0,5.0,4.0,0,19,3,18,11.0,10.0,5,10,9,16,24.0,23.0,0,5,9,19,,,,,,
43,60.03125,42,,,,,,,,,,0,17,9,2,,,9,7,1,19,,,0,10,0,13,,,7.0,9.0,5.0,9.0
44,0.09375,42,18.0,5.0,4.0,4.0,9.0,3.0,6.0,18.0,17.0,3,4,6,12,17.0,16.0,0,2,3,15,15.0,14.0,7,19,3,11,,,,,,
45,0.0,42,13.0,13.0,12.0,9.0,6.0,3.0,12.0,11.0,10.0,0,10,2,18,9.0,8.0,7,1,0,0,6.0,5.0,7,9,9,12,,,,,,
46,0.0,42,18.0,16.0,15.0,9.0,13.0,0.0,7.0,9.0,8.0,2,1,9,0,18.0,17.0,0,3,9,7,4.0,3.0,0,14,0,17,,,,,,
47,0.0,42,14.0,12.0,11.0,7.0,9.0,6.0,19.0,14.0,13.0,1,0,9,5,9.0,8.0,3,10,0,5,10.0,9.0,6,5,1,9,,,,,,
48,0.0,42,20.0,6.0,5.0,3.0,0.0,3.0,5.0,20.0,19.0,3,3,9,16,6.0,5.0,9,19,4,19,4.0,3.0,8,0,5,0,,,,,,
49,0.0,42,21.0,21.0,20.0,3.0,18.0,1.0,0.0,21.0,20.0,0,16,2,0,19.0,18.0,9,12,3,0,15.0,14.0,0,1,0,15,,,,,,
50,0.0,42,16.0,6.0,5.0,0.0,2.0,3.0,2.0,16.0,15.0,6,14,5,0,6.0,5.0,9,16,9,11,13.0,12.0,0,14,6,16,,,,,,
51,0.0,42,18.0,17.0,16.0,7.0,18.0,9.0,4.0,10.0,9.0,6,3,8,10,18.0,17.0,3,16,0,2,14.0,13.0,1,10,6,18,,,,,,
52,0.015625,42,23.0,13.0,12.0,0.0,9.0,3.0,18.0,21.0,20.0,7,1,0,14,23.0,22.0,8,19,6,1,16.0,15.0,0,15,9,11,,,,,,
53,0.0,42,21.0,7.0,6.0,0.0,9.0,0.0,15.0,6.0,5.0,3,14,4,18,21.0,20.0,9,16,5,0,14.0,13.0,3,2,6,12,,,,,,
54,60.046875,42,,,,,,,,,,3,4,9,15,,,9,14,9,11,,,5,9,4,19,,,3.0,1.0,0.0,2.0
55,0.0,42,19.0,8.0,7.0,6.0,5.0,9.0,1.0,19.0,18.0,6,0,0,12,9.0,8.0,0,17,6,19,14.0,13.0,6,9,0,16,,,,,,
56,0.0,42,18.0,18.0,17.0,7.0,9.0,0.0,19.0,15.0,14.0,3,16,6,5,3.0,2.0,0,0,1,1,5.0,4.0,9,16,9,12,,,,,,
57,0.046875,42,23.0,10.0,9.0,7.0,1.0,6.0,9.0,12.0,11.0,8,10,8,1,23.0,22.0,3,18,9,2,12.0,11.0,4,9,0,2,,,,,,
58,0.0,42,12.0,7.0,6.0,6.0,12.0,2.0,10.0,12.0,11.0,0,12,8,9,2.0,1.0,3,1,4,1,8.0,7.0,9,0,2,0,,,,,,
59,0.0,42,13.0,13.0,12.0,3.0,6.0,9.0,12.0,11.0,10.0,5,10,9,4,11.0,10.0,7,18,7,10,2.0,1.0,6,6,6,5,,,,,,
60,0.0,42,17.0,17.0,16.0,3.0,1.0,9.0,11.0,3.0,2.0,3,15,3,17,11.0,10.0,0,13,6,11,13.0,12.0,3,11,9,15,,,,,,
61,60.015625,42,,,,,,,,,,9,4,2,9,,,2,19,2,1,,,4,0,9,19,,,5.0,10.0,7.0,9.0
62,0.0,42,20.0,6.0,5.0,9.0,1.0,9.0,6.0,20.0,19.0,8,18,0,7,11.0,10.0,9,15,4,10,15.0,14.0,0,12,6,4,,,,,,
63,60.015625,42,,,,,,,,,,3,9,3,4,,,0,16,3,3,,,1,9,9,11,,,8.0,19.0,9.0,10.0
64,0.0,42,23.0,16.0,15.0,9.0,10.0,3.0,1.0,4.0,3.0,6,5,6,2,3.0,2.0,0,19,0,17,23.0,22.0,0,18,4,0,,,,,,
65,0.0,42,22.0,8.0,7.0,0.0,13.0,0.0,6.0,14.0,13.0,5,18,1,9,4.0,3.0,0,2,1,0,22.0,21.0,6,18,9,0,,,,,,
66,0.015625,42,15.0,15.0,14.0,0.0,6.0,6.0,14.0,15.0,14.0,3,17,8,10,13.0,12.0,6,4,3,13,6.0,5.0,5,1,9,0,,,,,,
67,60.015625,42,,,,,,,,,,3,4,9,5,,,9,18,8,1,,,5,0,9,2,,,7.0,1.0,5.0,18.0
68,0.03125,42,22.0,7.0,6.0,0.0,5.0,2.0,1.0,22.0,21.0,4,19,2,0,12.0,11.0,1,1,2,9,7.0,6.0,9,7,6,10,,,,,,
69,0.09375,42,24.0,12.0,11.0,6.0,2.0,0.0,5.0,24.0,23.0,9,14,0,0,6.0,5.0,3,16,3,11,18.0,17.0,3,0,9,11,,,,,,
70,0.0,42,15.0,14.0,13.0,5.0,9.0,9.0,0.0,15.0,14.0,9,7,0,12,6.0,5.0,0,11,0,6,8.0,7.0,0,10,3,14,,,,,,
71,60.03125,42,,,,,,,,,,9,11,8,9,,,6,15,9,8,,,0,11,2,1,,,9.0,1.0,9.0,17.0
72,0.0,42,9.0,9.0,8.0,3.0,5.0,6.0,8.0,3.0,2.0,8,10,6,10,5.0,4.0,6,3,6,7,3.0,2.0,8,0,7,1,,,,,,
73,0.0,42,20.0,20.0,19.0,0.0,15.0,5.0,1.0,5.0,4.0,8,19,9,16,20.0,19.0,5,18,9,3,12.0,11.0,3,5,9,0,,,,,,
74,0.015625,42,16.0,12.0,11.0,4.0,1.0,6.0,10.0,16.0,15.0,8,0,2,9,8.0,7.0,3,12,2,18,15.0,14.0,6,15,0,7,,,,,,
75,0.0,42,16.0,8.0,7.0,0.0,16.0,3.0,16.0,16.0,15.0,3,18,6,6,13.0,12.0,4,10,2,0,16.0,15.0,0,19,3,7,,,,,,
76,0.0,42,15.0,9.0,8.0,3.0,10.0,3.0,18.0,15.0,14.0,5,0,3,12,7.0,6.0,7,1,1,1,14.0,13.0,3,5,6,15,,,,,,
77,0.140625,42,17.0,17.0,16.0,2.0,1.0,6.0,13.0,15.0,14.0,3,2,9,10,4.0,3.0,8,1,9,3,10.0,9.0,9,14,4,10,,,,,,
78,60.015625,42,,,,,,,,,,7,19,9,15,,,3,6,9,2,,,4,1,4,18,,,5.0,18.0,6.0,11.0
79,0.0,42,15.0,15.0,14.0,1.0,10.0,7.0,18.0,4.0,3.0,8,10,6,9,15.0,14.0,6,0,0,8,12.0,11.0,5,10,3,1,,,,,,
80,0.0,42,17.0,11.0,10.0,1.0,0.0,6.0,5.0,17.0,16.0,7,1,6,16,10.0,9.0,0,4,5,0,16.0,15.0,1,10,9,3,,,,,,
81,60.015625,42,,,,,,,,,,9,10,6,9,,,0,15,0,11,,,9,14,6,8,,,6.0,7.0,7.0,0.0
82,0.0,42,17.0,17.0,16.0,6.0,3.0,6.0,19.0,7.0,6.0,0,9,0,15,11.0,10.0,5,9,9,15,17.0,16.0,9,12,0,19,,,,,,
83,0.0,42,13.0,12.0,11.0,8.0,9.0,8.0,0.0,11.0,10.0,3,15,9,19,12.0,11.0,6,4,9,12,13.0,12.0,3,19,9,13,,,,,,
84,0.0,42,12.0,6.0,5.0,0.0,10.0,0.0,5.0,4.0,3.0,2,10,0,11,12.0,11.0,6,19,5,9,4.0,3.0,6,4,6,7,,,,,,
85,60.046875,42,,,,,,,,,,0,19,6,2,,,0,15,4,10,,,6,1,4,9,,,0.0,0.0,6.0,14.0
86,60.0625,42,,,,,,,,,,5,9,8,9,,,7,0,4,19,,,7,18,2,1,,,9.0,10.0,6.0,5.0
87,0.0,42,28.0,28.0,27.0,0.0,16.0,8.0,1.0,11.0,10.0,9,12,6,19,18.0,17.0,9,2,0,10,10.0,9.0,0,13,4,18,,,,,,
88,0.046875,42,25.0,9.0,8.0,6.0,12.0,7.0,19.0,25.0,24.0,7,0,1,18,13.0,12.0,3,16,6,13,11.0,10.0,9,10,3,6,,,,,,
89,0.0,42,19.0,10.0,9.0,7.0,1.0,6.0,9.0,19.0,18.0,9,8,2,19,12.0,11.0,8,18,8,9,13.0,12.0,7,18,3,10,,,,,,
90,0.0,42,19.0,13.0,12.0,5.0,10.0,0.0,17.0,10.0,9.0,3,4,0,10,16.0,15.0,0,18,9,12,19.0,18.0,9,15,6,0,,,,,,
91,0.09375,42,23.0,23.0,22.0,3.0,18.0,7.0,0.0,8.0,7.0,7,1,1,0,16.0,15.0,3,12,6,0,18.0,17.0,0,14,9,14,,,,,,
92,0.015625,42,17.0,8.0,7.0,9.0,12.0,4.0,10.0,11.0,10.0,3,9,0,16,17.0,16.0,8,0,3,11,5.0,4.0,6,7,6,11,,,,,,
93,0.046875,42,25.0,5.0,4.0,9.0,18.0,9.0,14.0,21.0,20.0,0,0,3,17,13.0,12.0,6,19,0,13,25.0,24.0,9,2,2,19,,,,,,
94,0.0,42,16.0,16.0,15.0,9.0,2.0,4.0,10.0,11.0,10.0,9,5,6,4,13.0,12.0,6,9,0,3,14.0,13.0,0,14,6,15,,,,,,
95,0.203125,42,27.0,2.0,1.0,5.0,19.0,6.0,19.0,27.0,26.0,0,1,8,19,11.0,10.0,0,11,3,18,4.0,3.0,4,0,3,2,,,,,,
96,0.0,42,25.0,25.0,24.0,9.0,16.0,0.0,1.0,4.0,3.0,4,1,3,3,18.0,17.0,3,4,5,1,16.0,15.0,3,19,9,10,,,,,,
97,0.015625,42,21.0,17.0,16.0,7.0,1.0,3.0,13.0,21.0,20.0,8,0,9,19,20.0,19.0,5,19,0,5,17.0,16.0,0,12,9,5,,,,,,
98,0.0,42,19.0,17.0,16.0,6.0,15.0,0.0,5.0,16.0,15.0,3,0,0,12,16.0,15.0,8,0,6,13,19.0,18.0,9,1,9,19,,,,,,
99,0.0,42,15.0,15.0,14.0,0.0,2.0,6.0,8.0,10.0,9.0,6,13,0,10,14.0,13.0,0,15,6,14,7.0,6.0,6,11,9,8,,,,,,
100,0.0,42,14.0,10.0,9.0,9.0,4.0,4.0,0.0,14.0,13.0,0,3,0,16,14.0,13.0,2,9,9,3,8.0,7.0,2,1,8,0,,,,,,
