episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,1.765625,42,-0.5,100,-0.5,0,8,8,0,0.5,9,17,9,0,0.5,6,0,6,18,-1.0,0,18,6,19
2,0.6875,42,6.0,40,1.5,0,11,3,10,1.5,3,17,9,13,1.5,9,5,0,16,1.5,5,1,5,0
3,0.578125,42,6.0,31,1.5,6,11,3,16,1.5,9,3,1,0,1.5,3,13,3,17,1.5,8,1,6,2
4,0.625,42,6.0,34,1.5,6,3,9,4,1.5,0,5,6,10,1.5,9,9,3,1,1.5,0,8,9,6
5,0.65625,42,6.0,34,1.5,7,1,9,17,1.5,3,8,9,10,1.5,6,16,3,17,1.5,0,15,0,6
6,0.703125,42,6.0,34,1.5,8,1,3,18,1.5,0,17,0,4,1.5,7,1,4,1,1.5,6,14,3,9
7,1.0,42,6.0,48,1.5,0,14,3,9,1.5,6,14,3,13,1.5,7,0,9,17,1.5,6,2,9,12
8,2.109375,42,0.5,100,0.5,9,11,9,1,0.5,0,7,3,18,0.5,3,10,0,17,-1.0,3,5,3,19
9,0.953125,42,6.0,42,1.5,6,15,6,3,1.5,3,6,9,14,1.5,3,19,6,13,1.5,0,11,1,0
10,0.890625,42,6.0,41,1.5,0,14,0,8,1.5,6,9,8,0,1.5,9,4,3,4,1.5,3,16,6,16
11,0.71875,42,6.0,33,1.5,3,16,9,10,1.5,9,5,2,0,1.5,9,2,3,2,1.5,9,4,3,11
12,0.765625,42,6.0,36,1.5,6,10,9,2,1.5,9,4,9,1,1.5,0,12,0,0,1.5,6,14,0,18
13,0.65625,42,6.0,30,1.5,8,1,3,1,1.5,3,19,3,18,1.5,6,13,6,3,1.5,9,0,6,16
14,0.71875,42,6.0,34,1.5,6,4,0,10,1.5,0,12,6,13,1.5,0,3,3,16,1.5,5,0,2,0
15,0.609375,42,6.0,27,1.5,3,19,8,0,1.5,6,4,6,2,1.5,9,6,6,10,1.5,6,12,0,7
16,0.484375,42,6.0,23,1.5,6,3,0,2,1.5,3,3,3,16,1.5,9,1,3,7,1.5,0,8,6,7
17,0.78125,42,6.0,36,1.5,0,19,9,6,1.5,3,13,1,1,1.5,3,1,0,3,1.5,9,18,9,19
18,0.65625,42,6.0,30,1.5,0,5,3,3,1.5,3,1,6,12,1.5,9,6,3,15,1.5,9,3,9,12
19,2.078125,42,0.5,100,0.5,6,3,6,13,-1.0,9,0,3,14,0.5,5,0,3,13,0.5,0,11,9,19
20,2.109375,42,0.5,100,-1.0,3,5,0,9,0.5,3,6,8,0,0.5,0,15,0,8,0.5,9,2,0,2
21,2.09375,42,0.5,100,0.5,6,16,9,10,-1.0,6,17,9,14,0.5,3,18,5,0,0.5,6,18,0,14
22,0.65625,42,6.0,31,1.5,4,1,3,11,1.5,3,17,3,3,1.5,6,16,1,1,1.5,0,14,0,15
23,0.6875,42,6.0,31,1.5,6,9,0,8,1.5,3,9,0,10,1.5,6,7,3,7,1.5,6,14,9,16
24,0.71875,42,6.0,33,1.5,9,16,6,16,1.5,9,11,3,0,1.5,3,9,3,18,1.5,3,7,4,1
25,0.484375,42,6.0,22,1.5,9,17,9,0,1.5,8,1,6,19,1.5,3,0,3,17,1.5,8,0,6,17
26,2.078125,42,0.5,100,0.5,0,7,0,11,-1.0,3,17,0,18,0.5,0,8,6,16,0.5,3,1,9,11
