episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
1,0.109375,42,-4.0,100,-1.0,0,18,6,19,-1.0,0,8,8,0,-1.0,6,0,6,18,-1.0,9,17,9,0
2,0.15625,42,-3.5,100,-0.5,5,1,5,0,-1.0,0,11,3,10,-1.0,9,5,0,16,-1.0,3,17,9,13
3,0.15625,42,-3.5,100,-1.0,8,1,6,2,-1.0,6,11,3,16,-0.5,3,13,3,17,-1.0,9,3,1,0
4,0.125,42,-4.0,100,-1.0,0,8,9,6,-1.0,6,3,9,4,-1.0,9,9,3,1,-1.0,0,5,6,10
5,0.125,42,-4.0,100,-1.0,0,15,0,6,-1.0,7,1,9,17,-1.0,6,16,3,17,-1.0,3,8,9,10
6,0.15625,42,-4.0,100,-1.0,6,14,3,9,-1.0,8,1,3,18,-1.0,7,1,4,1,-1.0,0,17,0,4
7,0.140625,42,-4.0,100,-1.0,6,2,9,12,-1.0,0,14,3,9,-1.0,7,0,9,17,-1.0,6,14,3,13
8,0.140625,42,-4.0,100,-1.0,3,5,3,19,-1.0,9,11,9,1,-1.0,3,10,0,17,-1.0,0,7,3,18
9,0.125,42,-4.0,100,-1.0,0,11,1,0,-1.0,6,15,6,3,-1.0,3,19,6,13,-1.0,3,6,9,14
10,0.125,42,-4.0,100,-1.0,3,16,6,16,-1.0,0,14,0,8,-1.0,9,4,3,4,-1.0,6,9,8,0
11,0.140625,42,-2.5,100,-1.0,9,4,3,11,-1.0,3,16,9,10,0.5,9,2,3,2,-1.0,9,5,2,0
12,0.125,42,-4.0,100,-1.0,6,14,0,18,-1.0,6,10,9,2,-1.0,0,12,0,0,-1.0,9,4,9,1
13,0.140625,42,-3.5,100,-1.0,9,0,6,16,-1.0,8,1,3,1,-1.0,6,13,6,3,-0.5,3,19,3,18
14,0.140625,42,-4.0,100,-1.0,5,0,2,0,-1.0,6,4,0,10,-1.0,0,3,3,16,-1.0,0,12,6,13
15,0.125,42,-4.0,100,-1.0,6,12,0,7,-1.0,3,19,8,0,-1.0,9,6,6,10,-1.0,6,4,6,2
16,0.171875,42,-4.0,100,-1.0,0,8,6,7,-1.0,6,3,0,2,-1.0,9,1,3,7,-1.0,3,3,3,16
17,0.125,42,-4.0,100,-1.0,9,18,9,19,-1.0,0,19,9,6,-1.0,3,1,0,3,-1.0,3,13,1,1
18,0.15625,42,-4.0,100,-1.0,9,3,9,12,-1.0,0,5,3,3,-1.0,9,6,3,15,-1.0,3,1,6,12
