episode,total_reward,timesteps,seed,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
1,6.0,17,42,1.5,9,17,8,1,1.5,0,10,7,18,1.5,5,10,6,19,1.5,7,1,5,1
2,6.0,21,42,1.5,4,0,9,11,1.5,0,14,3,11,1.5,9,1,1,1,1.5,5,0,8,0
3,6.0,39,42,1.5,8,19,2,0,1.5,6,10,3,19,1.5,3,14,4,0,1.5,5,19,0,10
4,6.0,36,42,1.5,0,7,6,9,1.5,6,0,9,0,1.5,9,6,3,0,1.5,9,3,0,19
5,6.0,20,42,1.5,3,9,9,7,1.5,7,10,9,16,1.5,6,17,3,19,1.5,0,7,6,14
6,6.0,30,42,1.5,1,9,0,5,1.5,8,0,4,9,1.5,7,18,4,19,1.5,3,10,5,19
7,6.0,14,42,1.5,6,15,3,15,1.5,0,17,3,10,1.5,7,9,9,16,1.5,9,11,3,5
8,6.0,26,42,1.5,0,8,4,1,1.5,9,9,8,9,1.5,3,10,1,1,1.5,4,9,0,15
9,6.0,31,42,1.5,3,6,9,13,1.5,6,15,6,1,1.5,4,10,6,13,1.5,2,0,3,18
10,6.0,13,42,1.5,6,9,7,19,1.5,0,18,0,11,1.5,9,0,3,4,1.5,6,17,3,18
