episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,0.984375,42,6.0,49,1.5,14,17,12,8,1.5,8,19,11,13,1.5,2,1,11,19,1.5,4,4,11,16
2,0.609375,42,6.0,35,1.5,8,0,14,9,1.5,13,10,3,19,1.5,2,16,6,19,1.5,8,17,8,13
3,0.3125,42,6.0,17,1.5,13,8,4,16,1.5,7,4,8,0,1.5,10,15,7,18,1.5,12,8,9,4
4,0.421875,42,6.0,24,1.5,1,7,10,13,1.5,14,4,5,10,1.5,9,5,13,8,1.5,1,19,13,13
5,0.5625,42,6.0,33,1.5,6,16,14,4,1.5,11,6,7,19,1.5,11,19,14,16,1.5,3,10,1,10
6,0.8125,42,6.0,46,1.5,4,1,0,19,1.5,11,19,8,13,1.5,12,7,8,2,1.5,11,3,6,18
7,0.5,42,6.0,29,1.5,11,4,7,10,1.5,11,17,14,16,1.5,3,7,6,19,1.5,9,4,14,9
8,0.953125,42,6.0,50,1.5,1,13,8,1,1.5,6,19,4,0,1.5,14,6,12,12,1.5,6,4,8,2
9,0.328125,42,6.0,16,1.5,6,4,14,11,1.5,8,3,11,2,1.5,11,4,9,10,1.5,2,16,4,16
10,2.046875,42,0.5,100,0.5,10,13,11,20,0.5,13,9,6,1,-1.0,3,10,2,1,0.5,7,18,11,6
11,0.734375,42,6.0,34,1.5,13,11,4,20,1.5,12,13,5,16,1.5,7,17,14,5,1.5,13,9,7,2
12,0.875,42,6.0,40,1.5,13,9,12,12,1.5,3,1,0,4,1.5,10,14,12,13,1.5,11,4,4,4
13,0.34375,42,6.0,15,1.5,8,3,8,1,1.5,11,1,9,5,1.5,12,7,5,10,1.5,12,8,11,7
14,0.609375,42,6.0,29,1.5,3,1,11,1,1.5,0,16,7,18,1.5,9,10,2,10,1.5,8,16,5,0
15,0.8125,42,6.0,38,1.5,9,10,10,13,1.5,13,13,9,13,1.5,8,3,11,20,1.5,10,16,1,13
