episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,1.265625,42,6.0,59,1.5,19,24,16,1,1.5,8,14,13,29,1.5,0,21,15,14,1.5,1,16,14,15
2,1.703125,42,0.5,100,0.5,7,1,19,13,-1.0,17,29,1,11,0.5,0,29,6,12,0.5,7,15,7,12
3,0.84375,42,6.0,50,1.5,17,14,1,22,1.5,6,20,7,1,1.5,11,15,6,29,1.5,15,29,9,14
4,0.96875,42,6.0,55,1.5,0,14,11,0,1.5,19,4,3,0,1.5,10,0,17,15,1.5,0,21,18,15
5,0.453125,42,6.0,26,1.5,6,9,19,5,1.5,13,14,7,0,1.5,15,1,19,23,1.5,1,7,0,15
6,1.890625,42,0.5,100,0.5,1,14,0,10,0.5,15,14,7,11,-1.0,15,29,7,4,0.5,12,22,6,11
7,0.53125,42,6.0,26,1.5,12,28,6,22,1.5,14,28,19,22,1.5,1,5,6,11,1.5,9,15,19,12
8,0.828125,42,6.0,32,1.5,0,17,7,4,1.5,6,12,1,13,1.5,19,8,16,15,1.5,6,2,7,5
9,0.59375,42,6.0,27,1.5,6,3,19,16,1.5,7,6,12,14,1.5,12,29,10,15,1.5,0,29,1,21
10,1.734375,42,6.0,82,1.5,11,0,15,15,1.5,17,22,5,29,1.5,1,6,0,22,1.5,6,28,13,14
11,1.421875,42,6.0,70,1.5,17,29,1,24,1.5,16,28,4,0,1.5,6,27,19,6,1.5,17,22,6,16
12,1.109375,42,6.0,55,1.5,17,22,16,15,1.5,1,2,0,1,1.5,11,1,16,28,1.5,12,28,1,15
13,1.015625,42,6.0,45,1.5,7,5,7,3,1.5,12,1,10,1,1.5,15,29,3,0,1.5,16,1,13,15
14,1.5,42,6.0,71,1.5,1,2,12,14,1.5,0,8,6,28,1.5,10,16,0,26,1.5,7,13,1,26
15,2.15625,42,0.5,100,0.5,10,15,11,1,0.5,18,14,10,17,0.5,7,5,15,15,-1.0,11,28,0,18
16,1.09375,42,6.0,54,1.5,10,14,0,7,1.5,0,20,10,24,1.5,10,0,5,0,1.5,10,15,16,15
17,1.203125,42,6.0,48,1.5,1,19,18,14,1.5,19,26,19,28,1.5,6,28,6,21,1.5,6,7,3,0
18,0.8125,42,6.0,41,1.5,0,13,4,1,1.5,17,14,19,11,1.5,1,23,3,1,1.5,0,7,18,14
19,1.0,42,6.0,48,1.5,10,1,12,1,1.5,0,28,19,29,1.5,12,0,16,0,1.5,6,27,7,13
20,0.8125,42,6.0,37,1.5,6,1,0,24,1.5,17,0,0,5,1.5,6,23,6,4,1.5,6,21,1,8
21,0.625,42,6.0,29,1.5,13,1,19,7,1.5,14,0,1,6,1.5,15,22,13,29,1.5,0,20,7,3
22,0.609375,42,6.0,28,1.5,7,11,6,15,1.5,1,4,1,8,1.5,19,15,7,0,1.5,7,12,13,1
23,1.21875,42,6.0,58,1.5,11,0,0,20,1.5,12,28,19,20,1.5,5,0,6,10,1.5,1,24,10,25
24,1.140625,42,6.0,55,1.5,19,21,13,14,1.5,6,5,7,11,1.5,0,27,19,9,1.5,6,6,6,11
25,0.859375,42,6.0,41,1.5,19,22,16,1,1.5,15,15,13,29,1.5,2,0,1,29,1.5,7,2,15,29
26,0.765625,42,6.0,36,1.5,0,18,7,2,1.5,2,29,0,29,1.5,14,15,19,7,1.5,7,0,0,22
27,0.9375,42,6.0,44,1.5,5,1,1,10,1.5,14,0,9,15,1.5,1,16,10,18,1.5,13,15,16,29
28,0.75,42,6.0,35,1.5,15,1,6,26,1.5,0,4,12,0,1.5,18,15,13,29,1.5,7,4,7,10
29,0.890625,42,6.0,41,1.5,10,19,15,1,1.5,1,2,0,19,1.5,10,29,11,22,1.5,5,1,0,21
30,0.734375,42,6.0,34,1.5,1,11,12,0,1.5,0,9,6,3,1.5,16,1,1,13,1.5,6,23,7,11
31,0.671875,42,6.0,30,1.5,1,10,4,29,1.5,0,23,1,9,1.5,12,22,16,14,1.5,1,3,10,20
32,0.625,42,6.0,30,1.5,7,0,4,1,1.5,10,19,10,21,1.5,19,27,10,26,1.5,19,12,6,7
