episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
1,1.625,42,10.5,46,1.5,7,12,17,14,1.5,7,1,6,20,1.5,17,29,11,15,1.5,13,29,6,12,1.5,16,1,1,11,1.5,0,29,15,29,1.5,7,15,19,13
2,1.328125,42,10.5,42,1.5,19,4,15,1,1.5,10,0,1,7,1.5,0,21,11,0,1.5,9,14,0,14,1.5,6,29,18,15,1.5,1,22,3,0,1.5,7,1,17,15
3,2.203125,42,10.5,68,1.5,12,22,0,10,1.5,19,5,7,11,1.5,7,0,7,4,1.5,13,14,15,29,1.5,6,9,15,14,1.5,19,23,6,11,1.5,0,15,1,14
4,1.734375,42,10.5,48,1.5,19,22,16,15,1.5,6,11,7,5,1.5,19,12,0,17,1.5,9,15,6,22,1.5,1,5,6,2,1.5,12,28,6,12,1.5,14,28,19,8
5,2.734375,42,10.5,71,1.5,1,21,11,0,1.5,6,3,17,22,1.5,7,6,1,6,1.5,1,13,10,15,1.5,7,4,12,14,1.5,12,29,6,28,1.5,0,29,19,16
6,2.5625,42,10.5,65,1.5,16,28,11,1,1.5,6,27,12,28,1.5,17,22,1,24,1.5,13,14,17,29,1.5,0,22,6,16,1.5,15,15,4,0,1.5,5,29,19,6
7,1.890625,42,10.5,48,1.5,16,1,7,3,1.5,16,15,10,1,1.5,0,1,3,0,1.5,1,2,15,29,1.5,17,22,12,1,1.5,16,28,13,15,1.5,1,15,7,5
8,1.96875,42,10.5,50,1.5,6,28,15,15,1.5,0,26,0,18,1.5,1,26,10,15,1.5,7,13,12,14,1.5,10,16,11,28,1.5,1,2,18,14,1.5,0,8,7,5
9,2.828125,42,10.5,73,1.5,16,15,1,19,1.5,10,14,19,26,1.5,0,20,6,28,1.5,10,17,5,0,1.5,11,1,10,24,1.5,10,0,6,7,1.5,10,15,0,7
10,3.65625,42,10.5,95,1.5,17,14,0,28,1.5,1,23,12,0,1.5,0,7,6,27,1.5,3,0,0,13,1.5,6,21,3,1,1.5,18,14,4,1,1.5,19,28,19,11
11,3.96875,42,2.0,100,0.5,6,23,0,20,-1.0,6,21,0,24,0.5,12,1,0,5,0.5,10,1,17,0,0.5,7,13,6,1,0.5,19,29,6,4,0.5,16,0,1,8
12,1.546875,42,10.5,39,1.5,19,7,6,15,1.5,1,6,1,8,1.5,13,29,7,0,1.5,15,22,7,12,1.5,14,0,19,15,1.5,7,3,7,11,1.5,13,1,1,4
13,1.671875,42,10.5,43,1.5,19,20,19,9,1.5,6,10,6,11,1.5,10,25,19,21,1.5,1,24,0,20,1.5,5,0,6,6,1.5,11,0,6,5,1.5,12,28,0,27
14,3.875,42,2.0,100,0.5,15,29,0,18,-1.0,19,22,2,29,0.5,15,15,14,15,0.5,7,11,1,29,0.5,13,14,13,29,0.5,2,0,7,0,0.5,7,2,16,1
15,1.796875,42,10.5,46,1.5,1,16,7,4,1.5,13,15,1,10,1.5,7,2,9,15,1.5,0,22,14,0,1.5,7,0,5,1,1.5,0,29,10,18,1.5,19,7,16,29
16,3.328125,42,10.5,85,1.5,6,26,0,19,1.5,12,0,11,22,1.5,13,29,0,21,1.5,18,15,5,1,1.5,0,4,10,29,1.5,7,10,10,19,1.5,15,1,1,2
17,3.59375,42,10.5,91,1.5,1,13,10,20,1.5,7,11,1,10,1.5,1,11,0,23,1.5,15,1,6,3,1.5,6,23,12,0,1.5,0,9,12,22,1.5,16,1,1,3
18,3.890625,42,2.0,100,0.5,7,0,19,20,0.5,10,19,1,4,0.5,19,27,0,5,0.5,16,14,6,7,-1.0,1,9,10,26,0.5,19,12,4,1,0.5,4,29,10,21
19,3.890625,42,0.5,100,0.5,3,0,10,16,0.5,0,18,1,6,-1.0,0,14,19,15,-1.0,6,23,7,9,0.5,7,8,12,14,0.5,16,0,6,29,0.5,7,4,7,10
20,3.921875,42,2.0,100,0.5,8,1,0,2,0.5,6,3,17,15,0.5,19,19,6,11,0.5,9,14,18,1,0.5,7,6,6,28,0.5,2,1,0,4,-1.0,16,28,3,29
21,2.296875,42,10.5,59,1.5,0,24,14,14,1.5,6,0,12,0,1.5,10,0,1,25,1.5,19,6,12,1,1.5,9,14,12,14,1.5,5,0,3,1,1.5,1,2,0,27
