episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
1,1.703125,42,13.5,40,1.5,17,29,17,14,1.5,6,20,18,15,1.5,6,12,1,22,1.5,1,11,0,21,1.5,15,29,19,4,1.5,11,15,0,14,1.5,7,12,6,29,1.5,19,13,10,0,1.5,7,1,9,14
2,3.484375,42,13.5,82,1.5,17,15,7,0,1.5,19,23,7,11,1.5,1,7,15,29,1.5,15,1,15,14,1.5,6,9,6,11,1.5,0,15,7,4,1.5,11,0,12,22,1.5,13,14,1,14,1.5,3,0,19,5
3,4.8125,42,2.0,100,0.5,0,10,6,2,0.5,6,22,0,29,-1.0,14,28,0,17,-0.5,12,28,7,5,0.5,6,11,1,13,0.5,19,22,7,4,0.5,1,5,6,12,0.5,19,12,16,15,0.5,9,15,19,8
4,3.90625,42,13.5,75,1.5,12,29,17,22,1.5,1,6,17,29,1.5,1,21,0,22,1.5,10,15,5,29,1.5,19,16,6,27,1.5,6,28,16,28,1.5,6,3,13,14,1.5,12,14,15,15,1.5,7,6,11,0
5,2.125,42,13.5,41,1.5,6,16,16,28,1.5,1,15,3,0,1.5,1,24,16,1,1.5,12,28,15,29,1.5,1,2,7,5,1.5,17,22,13,15,1.5,4,0,16,15,1.5,11,1,12,1,1.5,19,6,0,1
6,5.265625,42,-1.5,100,-1.0,15,29,6,28,-1.0,0,26,10,17,0.5,7,13,7,5,-1.0,10,16,18,14,0.5,1,2,0,18,0.5,1,26,15,15,0.5,7,3,11,28,-1.0,0,8,10,15,0.5,10,1,12,14
7,2.578125,42,13.5,50,1.5,11,1,6,7,1.5,0,7,1,23,1.5,0,20,1,19,1.5,10,14,3,0,1.5,5,0,19,28,1.5,10,24,18,14,1.5,10,0,19,26,1.5,16,15,6,21,1.5,10,15,6,28
8,2.46875,42,13.5,48,1.5,17,14,10,1,1.5,0,28,6,1,1.5,3,1,19,29,1.5,19,11,12,1,1.5,6,27,6,23,1.5,12,0,17,0,1.5,18,14,16,0,1.5,4,1,6,21,1.5,0,13,7,13
9,4.265625,42,13.5,72,1.5,1,8,13,29,1.5,7,3,6,15,1.5,0,24,7,12,1.5,0,20,19,15,1.5,14,0,7,11,1.5,13,1,7,0,1.5,0,5,19,7,1.5,15,22,1,4,1.5,6,4,1,6
10,2.1875,42,13.5,37,1.5,1,24,0,27,1.5,6,6,2,0,1.5,11,0,6,11,1.5,10,25,19,9,1.5,19,20,13,14,1.5,0,20,7,2,1.5,12,28,19,21,1.5,6,10,7,11,1.5,5,0,6,5
11,2.984375,42,13.5,57,1.5,15,15,2,29,1.5,14,15,14,0,1.5,15,29,19,7,1.5,1,29,0,29,1.5,16,1,13,15,1.5,7,0,1,16,1.5,2,0,0,22,1.5,13,29,7,2,1.5,19,22,0,18
12,5.21875,42,3.0,100,0.5,5,1,7,10,-1.0,15,1,11,22,0.5,9,15,6,26,0.5,1,10,10,29,0.5,18,15,10,19,0.5,0,4,0,21,0.5,10,18,12,0,0.5,7,4,1,2,0.5,16,29,13,29
13,3.25,42,13.5,59,1.5,10,29,6,3,1.5,1,13,1,9,1.5,6,23,12,22,1.5,16,1,0,23,1.5,1,11,10,20,1.5,7,11,16,14,1.5,15,1,1,3,1.5,0,9,1,10,1.5,0,19,12,0
14,5.578125,42,3.0,100,0.5,4,29,0,5,0.5,4,1,0,18,0.5,10,19,6,23,0.5,7,0,7,8,0.5,10,26,16,0,-1.0,10,21,0,14,0.5,19,27,19,20,0.5,6,7,7,4,0.5,19,12,1,4
15,5.671875,42,3.0,100,0.5,3,0,7,6,-1.0,9,14,3,29,0.5,7,10,19,19,0.5,6,29,6,3,0.5,1,6,18,1,0.5,10,16,6,28,0.5,12,14,2,1,0.5,19,15,8,1,0.5,7,9,16,28
16,3.328125,42,13.5,58,1.5,0,4,6,0,1.5,10,0,14,14,1.5,0,2,12,14,1.5,19,6,0,27,1.5,1,2,1,25,1.5,5,0,12,0,1.5,17,15,12,1,1.5,9,14,3,1,1.5,6,11,0,24
17,3.96875,42,13.5,72,1.5,14,1,1,24,1.5,1,22,7,3,1.5,6,1,10,1,1.5,0,24,9,15,1.5,19,10,5,1,1.5,19,24,17,22,1.5,15,22,1,2,1.5,10,26,6,12,1.5,19,15,0,8
18,5.28125,42,3.0,100,0.5,16,29,19,8,0.5,7,15,4,29,0.5,1,16,19,15,0.5,19,19,1,11,0.5,4,0,9,0,0.5,10,28,0,10,0.5,6,0,19,28,0.5,11,1,1,7,-1.0,19,21,1,28
19,1.9375,42,13.5,45,1.5,6,27,1,21,1.5,19,4,12,0,1.5,1,4,7,5,1.5,19,5,6,0,1.5,14,29,15,22,1.5,18,0,6,4,1.5,19,28,8,0,1.5,0,20,0,5,1.5,19,22,0,26
20,3.0625,42,13.5,67,1.5,6,21,19,15,1.5,0,1,1,5,1.5,0,21,0,7,1.5,14,15,0,28,1.5,6,15,17,22,1.5,2,0,19,5,1.5,19,3,1,25,1.5,14,29,0,15,1.5,6,13,19,18
21,5.0625,42,0.5,100,-1.0,14,29,5,29,0.5,3,1,19,14,-0.5,10,23,6,1,0.5,13,29,19,23,0.5,0,10,6,27,0.5,1,14,1,2,-1.0,6,12,15,29,0.5,19,1,7,12,0.5,1,11,19,29
22,4.515625,42,13.5,90,1.5,0,3,4,1,1.5,0,27,18,28,1.5,3,0,13,0,1.5,1,0,15,15,1.5,12,22,6,23,1.5,19,22,1,15,1.5,1,22,19,13,1.5,0,4,10,19,1.5,1,9,7,13
23,3.59375,42,13.5,68,1.5,16,28,10,15,1.5,0,28,12,0,1.5,0,19,6,19,1.5,14,22,19,23,1.5,1,0,7,9,1.5,6,27,7,14,1.5,13,28,0,18,1.5,17,15,4,29,1.5,0,5,19,13
24,3.828125,42,13.5,73,1.5,5,29,10,1,1.5,10,22,6,23,1.5,3,29,17,29,1.5,19,20,0,24,1.5,7,12,1,2,1.5,0,5,14,29,1.5,8,1,11,1,1.5,19,12,14,0,1.5,19,19,1,3
25,3.53125,42,13.5,64,1.5,0,1,7,5,1.5,6,26,17,15,1.5,10,22,18,0,1.5,1,11,0,4,1.5,14,22,0,24,1.5,16,28,3,29,1.5,1,8,16,0,1.5,19,14,12,0,1.5,19,22,11,1
26,5.203125,42,3.0,100,0.5,1,27,18,29,0.5,19,14,0,26,0.5,1,23,6,22,0.5,6,4,0,27,0.5,15,15,19,13,-1.0,10,24,6,25,0.5,7,4,4,0,0.5,8,15,6,13,0.5,16,15,15,0
27,2.640625,42,13.5,52,1.5,11,28,19,28,1.5,1,24,7,6,1.5,2,29,17,0,1.5,7,1,19,20,1.5,1,26,19,2,1.5,2,1,0,15,1.5,18,29,17,29,1.5,8,15,0,24,1.5,19,21,14,28
28,5.03125,42,3.0,100,-1.0,10,22,19,10,0.5,1,2,0,26,0.5,1,14,1,7,0.5,17,14,1,5,0.5,5,29,10,18,0.5,19,12,7,2,0.5,1,3,10,23,0.5,6,0,3,29,0.5,6,9,19,11
29,4.734375,42,1.5,100,0.5,9,1,8,0,0.5,10,21,14,15,0.5,0,12,6,18,-1.0,1,14,17,15,0.5,17,22,19,26,0.5,6,26,7,13,-1.0,13,22,16,22,0.5,1,9,6,0,0.5,0,4,12,22
30,4.15625,42,13.5,75,1.5,19,1,1,22,1.5,1,24,0,1,1.5,9,0,10,16,1.5,0,9,19,18,1.5,1,11,3,1,1.5,19,4,0,11,1.5,18,1,11,15,1.5,7,10,6,23,1.5,16,14,1,27
31,4.9375,42,3.0,100,0.5,6,13,6,20,0.5,0,11,1,24,0.5,19,5,0,22,0.5,0,23,17,28,0.5,17,22,16,22,-1.0,0,24,19,7,0.5,8,1,12,29,0.5,0,21,18,0,0.5,19,13,19,12
32,5.34375,42,1.5,100,0.5,19,25,1,0,0.5,14,22,16,0,0.5,10,18,7,15,0.5,15,29,19,22,-1.0,11,15,17,22,0.5,10,27,7,3,0.5,16,22,9,0,-1.0,10,29,18,15,0.5,6,1,17,15
33,2.578125,42,13.5,48,1.5,6,16,1,7,1.5,7,7,14,15,1.5,1,27,1,23,1.5,2,1,6,5,1.5,1,2,7,13,1.5,6,27,6,11,1.5,11,14,10,24,1.5,0,13,6,12,1.5,12,29,6,23
34,5.21875,42,3.0,100,0.5,6,2,12,14,0.5,19,18,19,20,0.5,1,11,7,8,0.5,12,29,15,22,0.5,4,1,7,3,-1.0,16,14,9,0,0.5,6,14,18,14,0.5,1,23,6,3,0.5,6,27,19,10
35,5.21875,42,3.0,100,0.5,18,1,0,16,0.5,11,0,18,28,0.5,1,16,14,15,0.5,16,28,0,8,-1.0,8,15,13,1,0.5,15,15,7,13,0.5,11,28,1,10,0.5,10,0,10,22,0.5,7,10,3,29
36,5.21875,42,3.0,100,0.5,19,11,0,19,0.5,10,19,6,21,0.5,10,26,14,0,0.5,11,1,1,1,0.5,10,28,1,8,0.5,14,1,16,22,0.5,19,19,19,15,-1.0,0,21,19,20,0.5,1,0,8,1
37,3.296875,42,13.5,62,1.5,10,21,14,0,1.5,1,28,10,15,1.5,19,29,8,1,1.5,16,15,10,27,1.5,19,17,1,9,1.5,0,20,0,29,1.5,16,0,0,21,1.5,19,14,1,8,1.5,6,29,0,11
38,3.3125,42,13.5,62,1.5,0,1,16,22,1.5,19,11,0,27,1.5,7,4,1,23,1.5,12,22,10,23,1.5,14,1,19,14,1.5,15,14,18,0,1.5,7,6,7,10,1.5,8,1,1,1,1.5,10,17,8,0
39,3.53125,42,13.5,66,1.5,16,0,15,28,1.5,19,12,15,14,1.5,0,20,14,14,1.5,7,9,6,4,1.5,14,1,19,6,1.5,6,23,17,1,1.5,14,0,12,14,1.5,11,29,14,22,1.5,0,26,1,17
40,3.8125,42,13.5,72,1.5,11,1,1,3,1.5,19,21,14,14,1.5,6,11,10,1,1.5,8,15,6,28,1.5,5,29,6,15,1.5,1,6,0,29,1.5,16,15,19,15,1.5,6,0,14,15,1.5,2,1,0,19
