episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
1,8.265625,42,4.5,100,0.5,18,15,1,14,0.5,11,0,7,11,0.5,0,14,15,14,-1.0,0,15,12,28,0.5,6,9,14,28,0.5,17,15,6,11,0.5,19,4,15,29,0.5,3,0,7,4,0.5,1,7,0,10,0.5,0,21,19,5,-1.0,15,1,9,15,0.5,13,14,1,5,0.5,1,22,7,0,0.5,7,1,19,23,0.5,10,0,12,22
2,10.03125,42,-1.5,100,-1.0,19,8,6,28,0.5,7,5,11,0,-1.0,6,2,19,16,-1.0,12,29,6,27,-1.0,0,29,15,15,0.5,6,12,1,6,-1.0,6,22,12,14,-1.0,0,17,17,22,0.5,16,15,13,14,0.5,6,11,1,21,0.5,1,13,0,22,0.5,7,4,5,29,0.5,14,28,6,3,0.5,19,12,7,6,0.5,19,22,10,15
3,8.625,42,4.5,100,0.5,12,28,7,13,0.5,17,22,1,26,0.5,1,24,7,3,-1.0,15,29,18,14,-1.0,16,1,11,28,0.5,11,1,10,16,0.5,4,0,10,1,0.5,1,2,0,8,0.5,1,15,0,26,0.5,6,16,13,15,0.5,0,1,6,28,0.5,16,15,12,14,0.5,17,29,7,5,0.5,16,28,12,1,0.5,19,6,3,0
4,5.796875,42,22.5,63,1.5,0,20,17,14,1.5,5,0,19,11,1.5,10,0,1,23,1.5,19,26,10,1,1.5,6,28,0,28,1.5,10,14,0,13,1.5,11,1,18,14,1.5,16,15,3,1,1.5,10,24,4,1,1.5,15,15,6,21,1.5,0,7,6,27,1.5,6,7,12,0,1.5,0,18,3,0,1.5,10,15,1,19,1.5,10,17,19,28
5,9.046875,42,22.5,99,1.5,17,0,19,15,1.5,6,4,7,0,1.5,6,23,7,12,1.5,14,0,11,0,1.5,15,22,12,28,1.5,6,1,1,4,1.5,6,21,19,7,1.5,1,8,7,11,1.5,0,5,6,15,1.5,19,29,13,29,1.5,0,24,1,24,1.5,0,20,5,0,1.5,16,0,7,3,1.5,7,13,13,1,1.5,12,1,1,6
6,10.421875,42,6.5,100,0.5,6,5,14,15,0.5,19,9,0,22,0.5,0,27,7,0,0.5,15,15,14,0,0.5,2,0,1,16,0.5,19,21,2,29,0.5,6,6,16,1,0.5,6,11,0,18,0.5,7,11,19,7,0.5,19,20,1,29,-0.5,13,14,0,29,0.5,7,2,13,15,0.5,6,10,15,29,0.5,10,25,19,22,0.5,0,20,13,29
7,8.890625,42,-3.0,100,0.5,18,15,0,9,0.5,7,10,1,13,0.5,7,4,16,1,-1.0,1,2,10,20,-1.0,10,29,0,23,0.5,0,4,1,11,0.5,1,10,6,23,0.5,15,1,7,11,-1.0,13,29,6,3,-1.0,10,18,11,22,0.5,12,0,1,3,-1.0,6,26,12,22,-1.0,16,29,0,21,-1.0,5,1,10,19,0.5,9,15,0,19
8,9.984375,42,0.0,100,0.5,7,0,7,9,0.5,10,21,6,29,0.5,10,19,3,0,0.5,6,23,7,6,-1.0,19,20,9,14,0.5,6,7,12,14,-1.0,19,27,0,18,0.5,10,26,7,10,-1.0,4,1,19,15,0.5,4,29,16,0,0.5,0,5,1,6,-1.0,1,4,10,16,0.5,1,9,7,4,-1.0,16,14,7,8,0.5,19,12,0,14
9,9.984375,42,-6.0,100,-1.0,18,1,0,27,-1.0,0,4,12,0,0.5,8,1,12,14,0.5,1,2,6,1,0.5,19,6,15,22,-1.0,6,28,3,1,-1.0,9,14,12,1,0.5,3,29,1,25,0.5,6,11,14,14,-1.0,19,19,6,0,0.5,17,15,14,1,-1.0,0,2,19,15,-1.0,2,1,10,0,-1.0,16,28,5,0,-1.0,6,3,0,24
10,9.46875,42,4.5,100,-1.0,0,8,10,28,0.5,9,15,1,28,0.5,1,24,4,0,0.5,16,29,9,0,0.5,7,3,1,7,0.5,1,2,7,15,0.5,1,22,11,1,0.5,10,1,19,8,0.5,6,12,19,28,0.5,19,10,1,16,0.5,5,1,19,15,0.5,17,22,1,11,0.5,10,26,6,0,-1.0,0,24,19,21,0.5,19,24,19,19
