episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
1,9.46875,42,-0.5,100,0.5,17,15,7,11,0.5,12,22,6,12,0.5,3,0,0,10,-1.0,0,15,19,22,-1.0,15,29,0,17,-1.0,15,1,14,28,0.5,19,23,6,22,-1.0,1,14,16,15,0.5,19,5,19,8,-1.0,13,14,12,28,0.5,15,14,7,5,0.5,7,0,6,2,0.5,6,9,19,12,0.5,11,0,9,15,-1.0,18,15,7,4,0.5,6,11,1,13,0.5,1,7,1,5
2,10.359375,42,1.0,100,-1.0,0,29,16,28,0.5,11,0,16,15,0.5,12,29,17,29,0.5,19,16,11,1,0.5,13,14,16,1,0.5,1,21,4,0,-1.0,6,28,1,2,-1.0,5,29,12,1,0.5,17,22,0,1,-1.0,10,15,1,24,0.5,0,22,15,29,0.5,1,6,1,15,0.5,12,14,12,28,0.5,7,6,6,16,-1.0,7,4,6,27,0.5,15,15,7,5,0.5,6,3,19,6
3,10.53125,42,7.0,100,0.5,3,0,15,15,0.5,12,14,19,26,0.5,15,29,10,17,0.5,1,2,5,0,0.5,11,28,1,19,0.5,7,13,0,20,-1.0,1,26,10,24,0.5,18,14,19,28,0.5,6,28,6,7,0.5,10,16,10,14,0.5,7,5,6,21,0.5,0,26,0,7,0.5,0,8,16,15,0.5,10,1,11,1,0.5,13,15,0,18,0.5,10,15,1,23,0.5,7,3,10,0
4,10.453125,42,0.0,100,-0.5,0,13,1,8,0.5,19,29,19,7,0.5,18,14,6,4,-1.0,0,28,13,1,-1.0,12,1,7,12,0.5,4,1,0,20,0.5,10,1,7,3,-1.0,6,23,1,4,-1.0,16,0,1,6,0.5,6,27,15,22,0.5,6,21,19,15,0.5,7,13,13,29,0.5,12,0,14,0,0.5,3,1,0,5,0.5,17,14,6,1,0.5,17,0,7,11,-1.0,19,11,0,24
5,10.546875,42,1.0,100,-1.0,7,11,19,9,0.5,0,20,2,29,0.5,7,0,13,14,0.5,11,0,1,29,0.5,6,6,0,18,-1.0,1,24,15,15,0.5,10,25,13,29,-1.0,6,5,19,7,0.5,19,20,14,15,-1.0,5,0,19,22,0.5,0,27,0,22,0.5,6,10,16,1,0.5,12,28,15,29,0.5,1,8,7,2,0.5,13,1,6,11,-1.0,19,21,0,29,0.5,6,15,2,0
6,10.546875,42,4.0,100,0.5,13,15,1,2,0.5,15,1,6,3,-1.0,1,16,10,19,0.5,1,10,0,9,0.5,7,10,1,3,0.5,16,29,0,19,0.5,7,4,1,11,0.5,12,0,0,23,0.5,0,4,1,13,0.5,10,18,6,23,0.5,13,29,12,22,0.5,18,15,7,11,0.5,9,15,16,1,0.5,14,0,0,21,-1.0,7,2,10,29,0.5,6,26,10,20,-1.0,5,1,11,22
7,10.546875,42,4.0,100,0.5,1,9,0,14,0.5,1,4,7,6,0.5,4,29,0,18,0.5,10,26,19,15,0.5,19,20,16,28,0.5,10,19,12,14,0.5,10,21,1,6,-1.0,7,8,19,19,0.5,0,5,9,14,0.5,7,0,7,10,0.5,6,23,2,1,-1.0,4,1,10,16,0.5,6,7,6,29,0.5,19,12,3,0,0.5,16,14,16,0,0.5,7,4,6,3,-1.0,19,27,7,9
8,10.484375,42,7.0,100,0.5,8,1,3,1,0.5,10,0,1,22,0.5,18,1,1,25,0.5,0,2,6,1,0.5,6,0,1,24,0.5,0,4,14,1,0.5,19,6,10,26,0.5,12,1,10,1,-1.0,5,0,19,24,0.5,6,11,19,15,0.5,0,24,0,8,0.5,1,2,19,10,0.5,17,15,15,22,0.5,6,28,12,0,0.5,9,14,0,27,0.5,12,14,9,15,0.5,3,29,14,14
9,10.796875,42,4.5,100,0.5,5,1,1,7,0.5,7,15,19,4,0.5,17,22,9,0,-0.5,19,19,19,5,0.5,19,8,1,21,-1.0,19,21,6,27,0.5,11,1,0,20,0.5,19,28,8,0,0.5,10,28,18,0,0.5,6,0,19,22,0.5,1,28,0,26,0.5,4,0,14,29,0.5,1,16,1,4,0.5,7,3,0,10,0.5,6,12,1,11,0.5,19,15,7,5,-1.0,16,29,4,29
10,12.390625,42,4.0,100,0.5,0,5,0,28,0.5,2,0,1,14,-1.0,15,22,0,15,0.5,0,21,10,23,0.5,0,1,3,1,0.5,6,21,1,5,0.5,14,15,13,29,0.5,19,18,19,29,0.5,6,15,0,10,0.5,6,13,1,11,0.5,19,15,5,29,0.5,14,29,19,1,0.5,19,3,6,12,-1.0,6,4,17,22,0.5,6,0,0,7,-1.0,1,25,15,29,0.5,12,0,19,5
