episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,0.921875,42,7.5,36,1.5,19,24,7,15,1.5,15,14,17,29,1.5,14,15,0,29,1.5,13,29,7,1,1.5,8,14,16,1
2,2.234375,42,0.0,100,-0.5,6,12,6,20,0.5,19,13,9,14,0.5,1,11,17,14,-1.0,15,29,6,29,0.5,7,12,11,15
3,1.453125,42,7.5,62,1.5,1,22,18,15,1.5,10,0,3,0,1.5,0,21,17,15,1.5,19,4,11,0,1.5,7,1,0,14
4,1.390625,42,7.5,57,1.5,15,1,7,0,1.5,6,9,12,22,1.5,13,14,19,5,1.5,0,15,15,29,1.5,1,7,19,23
5,2.15625,42,0.0,100,0.5,1,14,9,15,-1.0,7,4,14,28,0.5,6,11,1,5,-0.5,7,11,12,28,0.5,15,14,0,10
6,1.390625,42,7.5,60,1.5,14,28,19,8,1.5,19,22,0,17,1.5,6,11,6,12,1.5,6,22,7,5,1.5,19,12,6,2
7,1.015625,42,7.5,40,1.5,1,13,6,3,1.5,0,29,10,15,1.5,7,4,1,21,1.5,12,29,12,14,1.5,16,15,7,6
8,2.375,42,7.5,86,1.5,6,28,0,22,1.5,17,22,15,15,1.5,1,6,5,29,1.5,11,0,6,27,1.5,19,16,13,14
9,1.5625,42,7.5,52,1.5,17,29,12,28,1.5,19,6,1,2,1.5,6,16,11,1,1.5,4,0,17,22,1.5,16,28,1,24
10,1.65625,42,7.5,57,1.5,16,28,12,1,1.5,16,15,13,15,1.5,0,1,7,5,1.5,16,1,3,0,1.5,1,15,15,29
11,1.4375,42,7.5,55,1.5,10,1,1,2,1.5,7,13,0,26,1.5,7,3,1,26,1.5,10,16,6,28,1.5,15,29,0,8
12,1.484375,42,7.5,55,1.5,11,28,15,15,1.5,18,14,11,1,1.5,7,5,10,17,1.5,10,15,10,0,1.5,12,14,0,18
13,1.890625,42,7.5,72,1.5,10,14,6,7,1.5,5,0,19,26,1.5,16,15,6,28,1.5,10,24,1,19,1.5,0,20,0,7
14,2.09375,42,7.5,70,1.5,6,21,17,14,1.5,18,14,3,1,1.5,19,28,0,13,1.5,0,7,19,11,1.5,3,0,1,23
15,1.125,42,7.5,49,1.5,6,27,16,0,1.5,0,28,12,1,1.5,12,0,19,29,1.5,10,1,6,21,1.5,4,1,7,13
16,1.203125,42,7.5,54,1.5,6,23,0,5,1.5,6,1,0,20,1.5,17,0,0,24,1.5,1,8,15,22,1.5,6,21,6,4
17,0.984375,42,7.5,44,1.5,13,1,7,12,1.5,13,29,1,4,1.5,7,3,19,15,1.5,1,6,7,11,1.5,14,0,19,7
18,1.84375,42,7.5,82,1.5,7,11,5,0,1.5,1,8,11,0,1.5,7,0,12,28,1.5,6,15,10,25,1.5,13,1,1,24
19,1.03125,42,7.5,43,1.5,19,20,19,21,1.5,6,6,19,9,1.5,0,20,6,11,1.5,0,27,7,11,1.5,6,10,6,5
20,1.109375,42,7.5,45,1.5,7,2,1,29,1.5,15,15,16,1,1.5,2,0,13,29,1.5,19,22,7,0,1.5,13,14,15,29
21,2.203125,42,7.5,86,1.5,2,29,0,29,1.5,0,22,13,15,1.5,0,18,7,2,1.5,7,0,1,16,1.5,14,15,19,7
22,0.953125,42,7.5,34,1.5,5,1,7,4,1.5,10,18,0,4,1.5,16,29,18,15,1.5,9,15,15,1,1.5,14,0,1,10
23,2.609375,42,0.0,100,0.5,13,29,1,2,0.5,6,26,0,21,-0.5,12,0,10,19,-1.0,5,1,11,22,0.5,7,10,10,29
24,2.421875,42,7.5,91,1.5,0,19,1,11,1.5,6,23,1,13,1.5,15,1,7,11,1.5,16,1,6,3,1.5,10,29,0,9
25,1.203125,42,7.5,45,1.5,1,3,16,14,1.5,0,23,4,29,1.5,12,22,1,9,1.5,1,10,19,12,1.5,12,0,10,20
26,0.75,42,7.5,28,1.5,10,19,4,1,1.5,6,7,1,4,1.5,7,0,0,5,1.5,10,26,19,20,1.5,19,27,10,21
