episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
1,2.71875,42,-0.5,100,-0.5,16,1,6,12,0.5,14,15,17,29,0.5,7,15,1,11,0.5,15,14,7,1,-1.0,0,29,19,13,-0.5,13,29,7,12
2,1.015625,42,9.0,38,1.5,17,14,10,0,1.5,15,29,7,1,1.5,9,14,19,4,1.5,11,15,1,22,1.5,6,29,0,14,1.5,6,20,0,21
3,1.75,42,9.0,65,1.5,11,0,19,23,1.5,18,15,13,14,1.5,1,7,7,0,1.5,17,15,6,9,1.5,15,1,19,5,1.5,3,0,0,15
4,1.875,42,9.0,60,1.5,1,14,1,5,1.5,12,22,7,11,1.5,6,11,14,28,1.5,15,29,0,10,1.5,7,4,12,28,1.5,15,14,9,15
5,1.265625,42,9.0,37,1.5,19,22,7,5,1.5,19,12,19,8,1.5,6,22,16,15,1.5,14,28,6,12,1.5,6,2,1,13,1.5,6,11,0,17
6,2.78125,42,-0.5,100,0.5,7,6,6,28,-0.5,7,4,10,15,0.5,6,3,1,6,-0.5,0,29,12,14,-1.0,1,21,17,22,0.5,12,29,19,16
7,3.078125,42,9.0,99,1.5,5,29,6,16,1.5,11,0,6,27,1.5,15,15,19,6,1.5,13,14,16,28,1.5,17,22,4,0,1.5,0,22,17,29
8,3.25,42,9.0,95,1.5,1,2,16,1,1.5,1,24,16,28,1.5,17,22,15,29,1.5,12,28,0,1,1.5,1,15,12,1,1.5,11,1,16,15
9,1.40625,42,9.0,44,1.5,15,29,1,2,1.5,7,5,7,13,1.5,10,1,1,26,1.5,13,15,10,16,1.5,7,3,0,26,1.5,3,0,0,8
10,1.3125,42,9.0,36,1.5,7,5,11,1,1.5,6,28,0,18,1.5,18,14,10,0,1.5,12,14,15,15,1.5,10,15,0,20,1.5,11,28,10,17
11,3.3125,42,2.0,100,0.5,10,24,3,0,0.5,10,14,6,28,0.5,0,7,6,21,-0.5,16,15,19,26,0.5,6,7,19,28,0.5,5,0,1,19
12,1.890625,42,9.0,54,1.5,17,14,12,0,1.5,18,14,19,11,1.5,0,13,0,28,1.5,0,7,4,1,1.5,3,1,10,1,1.5,1,23,6,27
13,2.125,42,9.0,64,1.5,12,1,6,4,1.5,7,13,17,0,1.5,6,21,0,5,1.5,16,0,6,1,1.5,6,23,0,24,1.5,19,29,1,8
14,2.140625,42,9.0,60,1.5,13,1,19,15,1.5,0,20,1,6,1.5,7,3,1,4,1.5,15,22,19,7,1.5,13,29,7,11,1.5,14,0,7,12
15,1.75,42,9.0,54,1.5,1,8,10,25,1.5,13,1,5,0,1.5,6,15,6,10,1.5,7,11,12,28,1.5,1,24,19,20,1.5,7,0,11,0
16,1.515625,42,9.0,54,1.5,6,5,7,2,1.5,0,20,19,9,1.5,19,21,2,0,1.5,6,6,7,11,1.5,6,11,15,15,1.5,0,27,13,14
17,1.453125,42,9.0,55,1.5,1,29,0,18,1.5,19,22,7,0,1.5,13,29,0,22,1.5,2,0,14,15,1.5,16,1,19,7,1.5,15,29,2,29
18,2.9375,42,0.5,100,-0.5,1,16,1,10,0.5,0,29,16,29,0.5,14,0,7,4,-1.0,7,2,10,18,0.5,5,1,18,15,0.5,13,15,9,15
19,2.671875,42,9.0,77,1.5,13,29,10,19,1.5,0,4,5,1,1.5,12,0,0,21,1.5,15,1,10,29,1.5,6,26,11,22,1.5,7,10,1,2
