episode,cpu_time,seed,total_reward,timesteps,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_18_reward,agent_18_start_x,agent_18_start_y,agent_18_goal_x,agent_18_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_19_reward,agent_19_start_x,agent_19_start_y,agent_19_goal_x,agent_19_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y
1,11.6875,42,-2.0,100,-1.0,1,14,12,29,0.5,0,15,19,8,0.5,15,14,0,29,-0.5,19,5,7,5,-0.5,7,4,6,3,-0.5,14,28,6,28,0.5,19,22,11,0,0.5,7,11,1,21,-0.5,9,15,12,14,0.5,12,28,1,6,-1.0,1,5,19,16,0.5,19,12,17,22,0.5,7,0,0,17,-0.5,6,9,6,2,-0.5,6,22,13,14,0.5,12,22,16,15,-0.5,6,11,7,6,-0.5,19,23,6,12,0.5,15,29,1,13,-0.5,0,10,10,15
2,12.921875,42,3.0,100,0.5,19,6,1,26,0.5,5,29,13,15,0.5,6,16,0,8,0.5,6,27,7,3,0.5,1,24,6,28,0.5,0,1,0,18,0.5,15,29,0,20,-0.5,12,28,12,14,-1.0,1,2,18,14,0.5,16,15,10,17,-1.0,1,15,10,15,-0.5,16,1,10,0,-0.5,17,22,10,1,0.5,0,22,7,5,-0.5,12,1,10,14,0.5,16,28,7,13,0.5,4,0,0,26,0.5,15,15,3,0,0.5,17,29,10,16,0.5,11,1,11,28
3,14.578125,42,0.0,100,-0.5,3,0,6,1,-0.5,5,0,10,1,-1.0,1,19,17,0,0.5,6,7,19,29,-0.5,19,28,6,4,-1.0,3,1,14,0,0.5,6,27,13,29,0.5,18,14,0,5,0.5,17,14,0,20,-1.0,19,11,13,1,0.5,0,13,15,22,0.5,4,1,7,3,-1.0,0,7,16,0,0.5,16,15,0,28,0.5,12,0,1,6,0.5,6,28,12,1,0.5,6,21,1,8,0.5,10,24,7,13,-0.5,19,26,6,23,0.5,1,23,0,24
4,12.765625,42,-1.5,100,0.5,6,15,15,29,0.5,7,12,6,11,0.5,1,8,19,22,-0.5,7,11,7,2,0.5,5,0,13,29,0.5,19,20,0,22,-1.0,0,27,1,16,-0.5,12,28,16,1,-1.0,10,25,2,29,-0.5,0,20,0,29,0.5,6,10,0,18,-0.5,6,6,13,15,-0.5,1,4,13,14,-0.5,19,7,19,21,0.5,6,5,14,0,0.5,13,1,2,0,-0.5,1,24,1,29,0.5,19,15,19,9,-1.0,7,0,15,15,0.5,11,0,14,15
5,13.125,42,-0.5,100,0.5,15,1,0,23,-0.5,16,29,0,9,-1.0,0,4,12,22,0.5,1,10,1,13,0.5,13,29,16,14,0.5,10,19,7,0,-1.0,0,19,10,21,-0.5,12,0,1,9,0.5,10,29,19,12,-1.0,0,21,6,7,0.5,1,2,19,27,0.5,11,22,10,26,0.5,9,15,7,11,-0.5,5,1,16,1,0.5,6,23,4,1,-0.5,7,4,6,3,-0.5,7,10,10,20,0.5,10,18,1,11,-0.5,18,15,1,3,0.5,6,26,4,29
6,12.953125,42,-3.0,100,0.5,0,18,6,11,0.5,1,4,19,19,0.5,0,14,0,4,-0.5,7,8,18,1,-0.5,7,9,0,2,-0.5,1,6,6,0,-0.5,7,6,0,27,0.5,12,14,19,6,-0.5,6,29,5,0,0.5,10,16,0,24,-0.5,19,15,10,0,0.5,9,14,12,1,-0.5,6,23,8,1,-0.5,0,5,2,1,-1.0,16,28,3,1,0.5,7,4,6,28,0.5,3,0,17,15,-0.5,19,20,6,3,-1.0,16,0,3,29,-0.5,7,10,1,2
7,14.40625,42,5.0,100,0.5,10,26,10,28,-1.0,12,0,16,29,0.5,0,24,4,0,0.5,19,15,1,16,0.5,19,24,19,8,0.5,10,1,9,0,0.5,5,1,6,27,0.5,1,22,1,28,0.5,0,8,1,11,0.5,9,15,0,10,0.5,1,2,1,7,0.5,6,12,4,29,0.5,14,1,6,0,0.5,1,25,7,3,0.5,17,22,19,22,-0.5,15,22,19,19,0.5,19,10,7,15,-0.5,14,14,19,21,0.5,6,1,11,1,-1.0,1,24,19,28
8,15.609375,42,4.5,100,0.5,0,26,0,28,0.5,1,4,6,15,-0.5,1,21,0,7,0.5,14,29,19,15,0.5,7,5,17,22,0.5,12,0,13,29,0.5,19,3,1,14,0.5,6,0,1,5,0.5,15,22,6,12,0.5,6,21,19,1,0.5,6,4,10,23,0.5,6,13,0,10,-0.5,0,20,0,1,0.5,19,28,14,15,0.5,0,21,3,1,-0.5,18,0,19,18,0.5,8,0,0,15,-0.5,19,5,2,0,-1.0,19,4,1,25,0.5,0,5,1,11
9,14.65625,42,0.0,100,0.5,19,14,0,5,0.5,19,29,13,0,0.5,1,2,16,28,-0.5,19,23,6,23,0.5,1,9,0,19,-0.5,12,22,0,18,0.5,4,1,7,9,-1.0,1,22,14,22,0.5,1,0,0,28,-0.5,19,22,6,19,-0.5,0,4,10,15,-0.5,0,27,4,29,0.5,6,1,10,19,0.5,5,29,19,13,-0.5,7,13,7,14,0.5,7,12,1,15,0.5,0,3,13,28,-0.5,15,29,15,15,-1.0,6,27,18,28,0.5,3,0,17,15
10,12.984375,42,3.0,100,-1.0,0,5,16,0,0.5,5,29,1,8,0.5,7,12,7,5,0.5,3,29,14,22,0.5,10,1,0,4,0.5,14,0,1,23,0.5,6,23,15,15,-0.5,1,3,17,15,0.5,17,29,16,15,-0.5,1,2,6,4,-0.5,0,24,7,4,0.5,14,29,8,15,-0.5,8,1,19,14,0.5,12,0,19,22,0.5,0,1,10,24,0.5,19,20,16,28,-1.0,10,22,18,0,0.5,19,19,1,11,0.5,19,12,6,26,0.5,11,1,1,27
