episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
1,10.609375,42,0.5,100,0.5,11,0,1,5,0.5,9,15,1,21,0.5,13,14,19,12,-0.5,19,23,6,2,0.5,19,5,6,12,0.5,0,15,6,22,0.5,7,0,19,8,0.5,6,11,0,29,-0.5,0,10,6,3,-0.5,6,9,19,22,0.5,15,14,16,15,-1.0,15,1,12,28,-0.5,15,29,7,5,-1.0,7,4,12,29,0.5,7,11,7,6,0.5,12,22,0,17,0.5,1,14,1,13,-1.0,1,7,14,28
2,11.65625,42,4.0,100,0.5,10,15,12,28,0.5,1,24,1,26,0.5,6,28,1,15,0.5,11,0,16,1,-0.5,0,22,12,1,0.5,17,22,16,15,0.5,13,14,15,29,0.5,17,29,7,3,0.5,4,0,0,8,-0.5,1,6,0,1,0.5,6,27,3,0,-0.5,19,16,1,2,0.5,15,15,13,15,0.5,6,16,7,13,0.5,19,6,10,16,0.5,5,29,7,5,-0.5,16,28,10,1,-0.5,12,14,11,1
3,12.234375,42,4.0,100,0.5,0,26,6,7,0.5,0,7,16,0,-0.5,11,28,3,0,0.5,10,15,1,23,0.5,15,15,0,13,0.5,18,14,19,28,-1.0,0,18,17,14,0.5,10,14,12,0,0.5,10,24,7,13,0.5,7,5,6,21,-0.5,10,0,4,1,0.5,12,14,1,19,0.5,11,1,19,11,0.5,16,15,0,28,0.5,5,0,10,1,0.5,10,17,3,1,0.5,0,20,6,27,-1.0,6,28,19,26
4,12.890625,42,0.5,100,0.5,19,29,7,12,-0.5,19,7,6,11,-0.5,6,23,7,11,0.5,1,8,1,24,0.5,0,5,12,28,0.5,6,1,6,15,-0.5,6,4,5,0,-0.5,13,1,6,6,-1.0,1,6,19,21,-0.5,17,0,7,0,-0.5,15,22,6,10,0.5,6,21,1,4,0.5,0,20,10,25,0.5,7,3,0,27,0.5,13,29,6,5,0.5,0,24,11,0,-0.5,14,0,19,20,0.5,12,1,19,15
5,12.09375,42,2.5,100,0.5,19,9,13,15,-0.5,0,29,10,19,0.5,7,2,5,1,-0.5,19,22,9,15,0.5,1,29,7,4,-1.0,15,15,10,18,0.5,15,29,1,10,0.5,2,29,12,0,0.5,19,7,1,2,-1.0,2,0,16,29,0.5,7,0,15,1,0.5,13,14,14,0,0.5,16,1,0,4,0.5,0,18,6,26,-1.0,0,22,10,29,0.5,13,29,18,15,0.5,14,15,7,10,0.5,7,11,1,16
6,12.03125,42,1.0,100,0.5,0,21,16,14,-1.0,10,20,0,14,-1.0,0,19,19,12,0.5,16,1,7,0,-1.0,1,11,10,26,-0.5,6,23,10,19,0.5,0,9,6,7,0.5,1,3,19,20,0.5,1,10,16,0,-1.0,15,1,19,27,0.5,6,3,0,5,0.5,10,29,4,29,0.5,1,13,4,1,0.5,12,22,7,8,0.5,0,23,7,4,0.5,7,11,10,21,-0.5,12,0,1,4,0.5,11,22,1,9
7,11.75,42,2.5,100,0.5,0,18,3,29,0.5,6,28,14,1,0.5,12,14,17,15,-0.5,19,15,1,2,0.5,10,16,10,0,0.5,6,29,19,6,-0.5,1,6,5,0,-0.5,19,19,3,1,0.5,18,1,14,14,-0.5,7,10,0,2,0.5,16,28,12,1,0.5,7,9,6,11,0.5,7,6,0,24,0.5,6,3,1,25,0.5,8,1,12,0,-0.5,9,14,6,0,0.5,2,1,0,27,-1.0,3,0,0,4
8,11.28125,42,5.5,100,-1.0,19,15,19,21,-0.5,16,29,19,22,0.5,0,24,19,19,-0.5,19,24,10,28,0.5,1,24,19,8,0.5,19,10,4,0,0.5,1,22,7,15,0.5,6,12,9,0,0.5,7,3,6,27,0.5,10,26,11,1,0.5,10,1,1,11,0.5,6,1,1,16,0.5,1,2,19,28,0.5,5,1,0,10,0.5,17,22,4,29,0.5,0,8,1,28,0.5,9,15,1,7,0.5,15,22,6,0
9,11.34375,42,3.0,100,0.5,19,28,19,3,-1.0,6,13,13,29,0.5,0,20,6,15,0.5,19,4,19,15,0.5,0,26,1,25,0.5,18,0,0,1,-0.5,1,21,19,18,0.5,15,22,1,5,-0.5,6,21,10,23,0.5,14,29,2,0,0.5,6,0,0,15,0.5,19,5,14,15,0.5,7,5,0,28,-0.5,6,4,1,11,0.5,12,0,6,12,0.5,8,0,0,7,-1.0,0,5,17,22,0.5,1,4,0,21
10,11.53125,42,4.0,100,0.5,19,1,0,4,-0.5,1,0,14,22,-0.5,3,1,0,27,0.5,15,29,19,13,0.5,19,23,15,15,0.5,19,29,7,13,0.5,6,1,13,0,0.5,0,3,16,28,0.5,3,0,0,19,0.5,5,29,4,1,0.5,1,2,1,15,-1.0,1,14,19,22,0.5,6,27,6,23,0.5,1,9,0,5,0.5,1,22,13,28,0.5,7,12,10,19,0.5,19,14,18,28,-1.0,0,10,12,22
