episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
1,0.15625,42,-4.0,100,-1.0,0,21,15,14,-1.0,8,14,13,29,-1.0,1,16,14,15,-1.0,19,24,16,1
2,0.171875,42,-4.0,100,-1.0,0,29,6,12,-1.0,17,29,1,11,-1.0,7,15,7,12,-1.0,7,1,19,13
3,0.203125,42,-4.0,100,-1.0,11,15,6,29,-1.0,6,20,7,1,-1.0,15,29,9,14,-1.0,17,14,1,22
4,0.15625,42,-4.0,100,-1.0,10,0,17,15,-1.0,19,4,3,0,-1.0,0,21,18,15,-1.0,0,14,11,0
5,0.1875,42,-4.0,100,-1.0,15,1,19,23,-1.0,13,14,7,0,-1.0,1,7,0,15,-1.0,6,9,19,5
6,0.171875,42,-3.5,100,-1.0,15,29,7,4,-1.0,15,14,7,11,-1.0,12,22,6,11,-0.5,1,14,0,10
7,0.171875,42,-4.0,100,-1.0,1,5,6,11,-1.0,14,28,19,22,-1.0,9,15,19,12,-1.0,12,28,6,22
8,0.1875,42,-4.0,100,-1.0,19,8,16,15,-1.0,6,12,1,13,-1.0,6,2,7,5,-1.0,0,17,7,4
9,0.171875,42,-4.0,100,-1.0,12,29,10,15,-1.0,7,6,12,14,-1.0,0,29,1,21,-1.0,6,3,19,16
10,0.171875,42,-4.0,100,-1.0,1,6,0,22,-1.0,17,22,5,29,-1.0,6,28,13,14,-1.0,11,0,15,15
11,0.15625,42,-4.0,100,-1.0,6,27,19,6,-1.0,16,28,4,0,-1.0,17,22,6,16,-1.0,17,29,1,24
12,0.1875,42,-3.5,100,-1.0,11,1,16,28,-0.5,1,2,0,1,-1.0,12,28,1,15,-1.0,17,22,16,15
13,0.1875,42,-3.5,100,-1.0,15,29,3,0,-0.5,12,1,10,1,-1.0,16,1,13,15,-1.0,7,5,7,3
14,0.1875,42,-4.0,100,-1.0,10,16,0,26,-1.0,0,8,6,28,-1.0,7,13,1,26,-1.0,1,2,12,14
15,0.1875,42,-3.5,100,-1.0,7,5,15,15,-0.5,18,14,10,17,-1.0,11,28,0,18,-1.0,10,15,11,1
16,0.1875,42,-3.5,100,-0.5,10,0,5,0,-1.0,0,20,10,24,-1.0,10,15,16,15,-1.0,10,14,0,7
17,0.171875,42,-2.5,100,-1.0,6,28,6,21,0.5,19,26,19,28,-1.0,6,7,3,0,-1.0,1,19,18,14
18,0.171875,42,-4.0,100,-1.0,1,23,3,1,-1.0,17,14,19,11,-1.0,0,7,18,14,-1.0,0,13,4,1
19,0.1875,42,-3.5,100,-0.5,12,0,16,0,-1.0,0,28,19,29,-1.0,6,27,7,13,-1.0,10,1,12,1
20,0.171875,42,-4.0,100,-1.0,6,23,6,4,-1.0,17,0,0,5,-1.0,6,21,1,8,-1.0,6,1,0,24
21,0.1875,42,-4.0,100,-1.0,15,22,13,29,-1.0,14,0,1,6,-1.0,0,20,7,3,-1.0,13,1,19,7
22,0.1875,42,-4.0,100,-1.0,19,15,7,0,-1.0,1,4,1,8,-1.0,7,12,13,1,-1.0,7,11,6,15
23,0.1875,42,-4.0,100,-1.0,5,0,6,10,-1.0,12,28,19,20,-1.0,1,24,10,25,-1.0,11,0,0,20
24,0.171875,42,-3.0,100,-1.0,0,27,19,9,-0.5,6,5,7,11,-0.5,6,6,6,11,-1.0,19,21,13,14
25,0.1875,42,-4.0,100,-1.0,2,0,1,29,-1.0,15,15,13,29,-1.0,7,2,15,29,-1.0,19,22,16,1
26,0.171875,42,-4.0,100,-1.0,14,15,19,7,-1.0,2,29,0,29,-1.0,7,0,0,22,-1.0,0,18,7,2
27,0.1875,42,-3.5,100,-1.0,1,16,10,18,-1.0,14,0,9,15,-1.0,13,15,16,29,-0.5,5,1,1,10
28,0.203125,42,-4.0,100,-1.0,18,15,13,29,-1.0,0,4,12,0,-1.0,7,4,7,10,-1.0,15,1,6,26
29,0.1875,42,-4.0,100,-1.0,10,29,11,22,-1.0,1,2,0,19,-1.0,5,1,0,21,-1.0,10,19,15,1
30,0.171875,42,-4.0,100,-1.0,16,1,1,13,-1.0,0,9,6,3,-1.0,6,23,7,11,-1.0,1,11,12,0
31,0.1875,42,-4.0,100,-1.0,12,22,16,14,-1.0,0,23,1,9,-1.0,1,3,10,20,-1.0,1,10,4,29
32,0.15625,42,-4.0,100,-1.0,19,27,10,26,-1.0,10,19,10,21,-1.0,19,12,6,7,-1.0,7,0,4,1
33,0.15625,42,-4.0,100,-1.0,1,4,7,4,-1.0,19,20,16,0,-1.0,0,5,7,8,-1.0,6,23,0,14
34,0.1875,42,-4.0,100,-1.0,3,0,6,29,-1.0,7,9,19,15,-1.0,0,18,7,10,-1.0,12,14,1,6
35,0.1875,42,-3.5,100,-1.0,9,14,19,19,-0.5,7,6,6,3,-1.0,10,16,2,1,-1.0,16,28,8,1
36,0.15625,42,-4.0,100,-1.0,6,28,17,15,-1.0,3,29,0,2,-1.0,18,1,6,11,-1.0,0,4,19,6
37,0.1875,42,-4.0,100,-1.0,1,2,0,24,-1.0,5,0,12,1,-1.0,9,14,6,0,-1.0,10,0,12,14
38,0.1875,42,-4.0,100,-1.0,3,1,14,1,-1.0,1,25,19,15,-1.0,0,27,14,14,-1.0,12,0,15,22
39,0.1875,42,-4.0,100,-1.0,0,24,1,22,-1.0,10,26,1,24,-1.0,6,1,19,24,-1.0,19,10,0,8
40,0.171875,42,-4.0,100,-1.0,10,1,17,22,-1.0,9,15,7,3,-1.0,1,2,5,1,-1.0,6,12,16,29
41,0.15625,42,-3.5,100,-0.5,6,0,4,0,-1.0,1,16,10,28,-1.0,19,21,11,1,-1.0,19,19,7,15
42,0.15625,42,-4.0,100,-1.0,1,28,1,7,-1.0,19,28,9,0,-1.0,19,8,1,11,-1.0,19,15,0,10
43,0.140625,42,-2.5,100,-1.0,6,27,19,5,-1.0,19,22,0,20,-1.0,4,29,1,4,0.5,19,28,14,29
44,0.140625,42,-4.0,100,-1.0,19,4,8,0,-1.0,1,21,7,5,-1.0,18,0,0,26,-1.0,19,5,6,0
45,0.1875,42,-4.0,100,-1.0,15,22,6,13,-1.0,6,4,19,3,-1.0,0,5,6,21,-1.0,12,0,0,21
46,0.1875,42,-4.0,100,-1.0,14,29,19,15,-1.0,6,15,19,18,-1.0,14,15,0,1,-1.0,2,0,1,25
47,0.171875,42,-4.0,100,-1.0,0,28,1,5,-1.0,0,15,14,29,-1.0,0,7,19,5,-1.0,17,22,1,11
48,0.171875,42,-4.0,100,-1.0,10,23,1,14,-1.0,13,29,3,1,-1.0,6,12,0,10,-1.0,19,1,5,29
49,0.171875,42,-4.0,100,-1.0,15,29,6,27,-1.0,6,1,1,2,-1.0,19,29,7,12,-1.0,19,23,19,14
